segment	time	rtt	rttvar	srtt	rto
1	0.0012675	0.997732	0.498866	0.997732	200
2	0.0025413	1.04523	0.386023	1.00367	200
3	0.00285117	1.33615	0.372639	1.04523	200
4	0.00362564	0.86468	0.348627	1.03395	200
5	0.0045036	1.71722	0.390458	1.07665	200
6	0.00488357	1.84678	0.422098	1.10874	200
7	0.0053729	2.25785	0.482683	1.15662	200
8	0.0060805	2.24163	0.520328	1.19052	200
9	0.00734932	3.39182	0.625388	1.25932	200
10	0.00938456	4.70064	0.766185	1.34535	200
11	0.00999799	5.24492	0.922855	1.44284	200
12	0.0103953	5.31585	1.04578	1.52353	200
13	0.0107217	5.51041	1.16832	1.60659	200
14	0.0110616	5.51502	1.26619	1.67638	200
15	0.0113489	5.74518	1.36628	1.74904	200
16	0.01163	5.40026	1.43768	1.80609	200
17	0.011907	5.60778	1.51156	1.86549	200
18	0.0121856	4.65802	1.54714	1.90427	200
19	0.0124649	4.87662	1.58673	1.94556	200
20	0.0127833	3.2115	1.57871	1.96138	200
21	0.0131538	3.50961	1.57795	1.98073	200
22	0.0134744	3.29013	1.57184	1.99561	200
23	0.0137903	3.5239	1.57085	2.01298	200
24	0.0141163	3.56332	1.57043	2.02913	200
25	0.0144051	3.80961	1.5748	2.04768	200
26	0.0162983	5.42601	1.60949	2.08016	200
27	0.0166706	5.71953	1.64852	2.11515	200
28	0.0208812	9.60278	1.75279	2.18201	200
29	0.0254104	14.083	1.93401	2.28827	200
30	0.0268976	15.4045	2.12038	2.39757	200
31	0.0276717	16.131	2.31393	2.51201	200
32	0.0279332	16.1703	2.49119	2.61872	200
33	0.0281461	16.3437	2.66672	2.72595	200
34	0.0283562	16.3359	2.82765	2.82602	200
35	0.028561	16.4871	2.98696	2.92647	200
36	0.0287736	16.4766	3.13367	3.02057	200
37	0.0289922	16.6381	3.27928	3.11513	200
38	0.0291946	16.6101	3.4137	3.20391	200
39	0.0293427	16.6865	3.54618	3.29262	200
40	0.029943	17.037	3.67366	3.37852	200
41	0.0309794	17.9844	3.81031	3.46981	200
42	0.0330367	19.7447	3.9587	3.56668	200
43	0.0333791	20.0282	4.10755	3.66467	200
