time	pps	kbps
0.100299	0	0
0.200665	10	352.32
0.300971	20	704.64
0.401295	40	1409.28
0.501603	80	2818.56
0.601672	140	4932.48
0.70187	250	8808
0.802033	380	13388.2
0.902161	510	17968.3
1.00226	650	22900.8
1.10231	570	20082.2
1.20243	670	23605.4
1.30253	880	31004.2
1.40264	700	24662.4
1.5027	960	33822.7
1.60277	930	32765.8
1.70292	900	31708.8
1.80298	750	26424
1.90304	830	29242.6
2.00307	750	26424
2.10319	1160	40869.1
2.20327	170	5989.44
2.30372	490	17263.7
2.40393	620	21843.8
2.50402	650	22900.8
2.60408	760	26776.3
2.70417	780	27481
2.80431	800	28185.6
2.90463	840	29594.9
3.00467	850	29947.2
3.10471	720	25367
3.20479	780	27481
3.30497	820	28890.2
3.40503	810	28537.9
3.5051	750	26424
3.60515	790	27833.3
3.70528	850	29947.2
3.80645	840	29594.9
3.90648	820	28890.2
4.00669	830	29242.6
4.10827	800	28185.6
4.20988	850	29947.2
4.30994	840	29594.9
4.40997	810	28537.9
4.51003	800	28185.6
4.61088	830	29242.6
4.71093	850	29947.2
4.81138	840	29594.9
4.91152	820	28890.2
5.01156	810	28537.9
5.11216	780	27481
5.21254	820	28890.2
5.31264	830	29242.6
5.41308	840	29594.9
5.51313	830	29242.6
5.61383	850	29947.2
5.7139	830	29242.6
5.81394	930	32765.8
5.91401	840	29594.9
6.01449	930	32765.8
6.11494	880	31004.2
6.215	850	29947.2
6.31514	810	28537.9
6.41518	730	25719.4
6.51522	800	28185.6
6.61533	1130	39812.2
6.71544	200	7046.4
6.81554	500	17616
6.91567	580	20434.6
7.01582	670	23605.4
7.11592	740	26071.7
7.21602	750	26424
7.31612	760	26776.3
7.41621	760	26776.3
7.51631	800	28185.6
7.61643	800	28185.6
7.7166	770	27128.6
7.81693	710	25014.7
7.91704	800	28185.6
8.01711	800	28185.6
8.1173	820	28890.2
8.21734	730	25719.4
8.31763	820	28890.2
8.41769	810	28537.9
8.5178	800	28185.6
8.6179	800	28185.6
8.71794	800	28185.6
8.81805	760	26776.3
8.9182	820	28890.2
9.01907	810	28537.9
9.11914	810	28537.9
9.2192	750	26424
9.31951	790	27833.3
9.41955	780	27481
9.51963	780	27481
9.61998	820	28890.2
9.72004	790	27833.3
9.82048	790	27833.3
9.92086	790	27833.3
10.021	800	28185.6
10.1211	800	28185.6
10.2212	750	26424
10.3213	720	25367
10.4215	530	18673
10.5216	750	26424
10.6217	840	29594.9
10.722	820	28890.2
10.8222	910	32061.1
10.9222	710	25014.7
11.0228	720	25367
11.123	790	27833.3
11.2231	1110	39107.5
11.3233	270	9512.64
11.4235	490	17263.7
11.5236	530	18673
11.6237	670	23605.4
11.7238	680	23957.8
11.8242	720	25367
11.9243	770	27128.6
12.0249	770	27128.6
12.125	710	25014.7
12.2254	790	27833.3
12.3255	780	27481
12.4255	760	26776.3
12.5257	800	28185.6
12.6258	770	27128.6
12.7259	740	26071.7
12.826	790	27833.3
12.9264	790	27833.3
13.0264	740	26071.7
13.1265	780	27481
13.2265	790	27833.3
13.3266	780	27481
13.4267	790	27833.3
13.527	790	27833.3
13.6271	670	23605.4
13.7271	790	27833.3
13.8274	750	26424
13.9275	730	25719.4
14.0276	780	27481
14.1277	740	26071.7
14.2277	790	27833.3
14.3278	790	27833.3
14.4282	800	28185.6
14.5283	790	27833.3
14.6291	800	28185.6
14.7295	730	25719.4
14.8296	820	28890.2
14.9298	870	30651.8
15.0298	710	25014.7
15.1299	800	28185.6
15.2315	830	29242.6
15.3327	940	33118.1
15.4329	920	32413.4
15.533	820	28890.2
15.6331	740	26071.7
15.7332	820	28890.2
15.8334	720	25367
15.9335	830	29242.6
16.0335	1040	36641.3
