segment	time	rtt	rttvar	srtt	rto
112	0.0443968	5.28319	5.33941	6.00162	200
113	0.0444878	5.33582	5.29768	5.99865	200
114	0.0445749	5.27483	5.25684	5.99542	200
115	0.044686	5.26724	5.2178	5.99228	200
116	0.0447739	5.24297	5.17928	5.98905	200
117	0.0448614	5.30133	5.14056	5.98608	200
118	0.0449754	5.30206	5.10214	5.98314	200
119	0.0450676	5.28469	5.06418	5.98012	200
120	0.0451631	5.26933	5.02665	5.97706	200
121	0.0452514	5.33056	4.98889	5.97427	200
122	0.0453614	5.32577	4.95272	5.97157	200
123	0.045454	5.30774	4.91698	5.96881	200
124	0.0455427	5.28566	4.8817	5.96596	200
125	0.045631	5.34464	4.8462	5.96337	200
126	0.0457459	5.33992	4.81101	5.96077	200
127	0.0458363	5.32368	4.77622	5.95812	200
128	0.0459251	5.30158	4.74189	5.95538	200
129	0.0460292	5.38049	4.70717	5.95299	200
130	0.0461423	5.37484	4.67387	5.95066	200
131	0.0462323	5.35543	4.64098	5.94826	200
132	0.0463201	5.31843	4.60863	5.94572	200
133	0.0464092	5.37444	4.57607	5.94341	200
134	0.046527	5.37601	4.54374	5.94113	200
135	0.0466195	5.35652	4.51181	5.93877	200
136	0.0467115	5.33512	4.4803	5.93633	200
137	0.0468001	5.38914	4.44858	5.93413	200
138	0.0469149	5.38801	4.41809	5.93199	200
139	0.0470046	5.36467	4.38801	5.92978	200
140	0.0470953	5.34494	4.35829	5.92749	200
141	0.0471858	5.40429	4.32833	5.92545	200
142	0.0473068	5.4087	4.29855	5.92343	200
143	0.0474111	5.39905	4.26907	5.92138	200
144	0.0475029	5.37981	4.23995	5.91927	200
145	0.047594	5.44515	4.21053	5.91742	200
146	0.0477094	5.44505	4.18221	5.91563	200
147	0.0478032	5.42224	4.15426	5.91376	200
148	0.0479083	5.39047	4.12675	5.91178	200
149	0.0480224	5.48763	4.0987	5.91017	200
150	0.0481375	5.48848	4.07085	5.90857	200
151	0.0482518	5.47258	4.04331	5.90692	200
152	0.0483453	5.46775	4.01601	5.90526	200
153	0.0484587	5.46608	3.98891	5.90359	200
154	0.0486182	5.59696	3.96183	5.90247	200
155	0.0487611	5.62187	3.93477	5.90143	200
156	0.0488572	5.60834	3.90799	5.90036	200
157	0.0489498	5.58737	3.88156	5.89921	200
158	0.0490727	5.68275	3.85461	5.89841	200
159	0.049179	5.67436	3.82791	5.89759	200
160	0.0492554	5.63825	3.80167	5.89663	200
161	0.0493387	5.60679	3.77585	5.89557	200
162	0.0494127	5.56902	3.75049	5.89437	200
163	0.0495074	5.63575	3.72554	5.89344	200
164	0.0495854	5.59757	3.70105	5.89239	200
165	0.0496661	5.53067	3.67719	5.89109	200
166	0.0497566	5.51598	3.65361	5.88975	200
167	0.049852	5.59248	3.62963	5.88869	200
168	0.0499302	5.58448	3.60588	5.88761	200
169	0.0500069	5.56439	3.58243	5.88645	200
170	0.0500812	5.54841	3.55926	5.88524	200
171	0.0501551	5.53593	3.53633	5.884	200
172	0.0502499	5.60564	3.51371	5.88303	200
173	0.050326	5.59371	3.49132	5.88203	200
174	0.0504023	5.58097	3.46916	5.88098	200
175	0.0504937	5.5828	3.44714	5.87995	200
176	0.050589	5.65543	3.42476	5.87917	200
177	0.0506661	5.64152	3.40263	5.87834	200
178	0.0507426	5.62404	3.38076	5.87746	200
179	0.0508362	5.62334	3.35905	5.87658	200
180	0.0509335	5.63143	3.33743	5.87572	200
181	0.051063	5.73543	3.31583	5.87525	200
182	0.051164	5.7528	3.29425	5.87484	200
183	0.0512644	5.7596	3.27277	5.87445	200
184	0.0513746	5.78137	3.25128	5.87413	200
185	0.0515044	5.82356	3.22966	5.87396	200
186	0.0516113	5.90725	3.20806	5.87407	200
187	0.0517233	5.92323	3.18672	5.87424	200
188	0.0518349	5.94827	3.16568	5.87449	200
189	0.0519467	5.97045	3.14494	5.87481	200
190	0.0520898	6.00868	3.12513	5.87526	200
191	0.0522052	6.10071	3.10606	5.876	200
192	0.0523203	6.12557	3.08726	5.87682	200
193	0.0524354	6.15053	3.06875	5.87772	200
194	0.0525455	6.17342	3.05051	5.87869	200
195	0.052668	6.21026	3.03262	5.87978	200
196	0.0528069	6.31468	3.01553	5.88121	200
197	0.0529226	6.33908	2.99871	5.88272	200
198	0.0530837	6.4026	2.9824	5.88443	200
199	0.0535512	6.75545	2.96851	5.88729	200
200	0.0538713	6.99111	2.95655	5.89083	200
201	0.0541168	7.21394	2.94608	5.89507	200
202	0.054341	7.35153	2.93653	5.89974	200
203	0.0547086	7.61498	2.92871	5.90524	200
204	0.0549513	7.78253	2.92197	5.91125	200
205	0.0552311	7.95159	2.91631	5.91779	200
206	0.0554418	8.16151	2.912	5.92499	200
207	0.0556865	8.3073	2.90861	5.93262	200
208	0.0558769	8.39977	2.90578	5.94053	200
209	0.0559762	8.42917	2.90317	5.94831	200
210	0.0560422	8.40488	2.90038	5.95598	200
211	0.0561078	8.44836	2.89783	5.96377	200
212	0.056175	8.41859	2.89506	5.97144	200
213	0.0562414	8.39364	2.8921	5.97901	200
214	0.0563065	8.34468	2.88881	5.9864	200
215	0.0564042	8.33779	2.88546	5.99375	200
216	0.0564708	8.38367	2.88236	6.00122	200
217	0.056534	8.35387	2.87905	6.00857	200
