segment	time	rtt	rttvar	srtt	rto
1	0.104237	103.831	51.9156	103.831	311.493
2	0.207791	103.207	39.0928	103.753	260.124
3	0.20851	103.828	29.3382	103.762	221.115
4	0.313052	104.935	25.8175	103.836	207.106
5	0.313787	105.753	22.83	103.956	200
6	0.315982	107.22	21.1996	104.092	200
7	0.317195	108.448	19.796	104.273	200
8	0.416926	103.454	18.6099	104.247	200
9	0.417615	104.077	17.4574	104.242	200
10	0.418356	104.33	16.5889	104.244	200
11	0.419289	105.161	15.8053	104.267	200
12	0.420674	104.422	15.1532	104.27	200
13	0.421406	105.065	14.5549	104.287	200
14	0.422025	104.546	14.0444	104.292	200
15	0.422962	105.324	13.5796	104.31	200
16	0.521393	104.108	13.1616	104.307	200
17	0.52263	105.311	12.7817	104.323	200
18	0.523662	105.869	12.4696	104.344	200
19	0.524868	106.923	12.1948	104.38	200
20	0.526139	107.551	11.9692	104.42	200
21	0.526781	108.161	11.7635	104.466	200
22	0.527866	108.38	11.5851	104.511	200
23	0.528706	109.145	11.4271	104.563	200
24	0.530155	109.155	11.2847	104.611	200
25	0.530873	109.909	11.16	104.666	200
26	0.531498	109.861	11.0453	104.716	200
27	0.5327	110.99	10.9535	104.777	200
28	0.533725	111.505	10.8781	104.837	200
29	0.534217	111.916	10.8102	104.9	200
30	0.534641	111.451	10.7392	104.955	200
31	0.535098	111.832	10.6749	105.012	200
32	0.6263	104.493	10.5162	105.008	200
33	0.627566	105.668	10.3622	105.013	200
34	0.628664	105.73	10.2203	105.018	200
35	0.629754	106.711	10.0949	105.031	200
36	0.630407	106.432	9.9742	105.04	200
37	0.631642	107.594	9.87113	105.058	200
38	0.633367	108.135	9.78174	105.078	200
39	0.633865	108.565	9.6989	105.101	200
40	0.634588	108.105	9.61522	105.12	200
41	0.635467	108.969	9.54314	105.144	200
42	0.636119	109.065	9.47621	105.168	200
43	0.636609	109.482	9.41475	105.193	200
44	0.637172	109.052	9.35161	105.215	200
45	0.637763	109.576	9.2949	105.24	200
46	0.639745	110.752	9.25378	105.27	200
47	0.640438	111.294	9.21867	105.303	200
48	0.641007	110.46	9.17637	105.33	200
49	0.6429	110.971	9.13955	105.359	200
50	0.64416	112.893	9.12349	105.397	200
51	0.644806	113.564	9.11393	105.437	200
52	0.645099	113.373	9.1026	105.476	200
53	0.645416	113.605	9.09325	105.515	200
54	0.645712	112.755	9.07609	105.548	200
55	0.645996	112.946	9.06054	105.582	200
56	0.646302	112.348	9.04005	105.613	200
57	0.646622	112.592	9.02166	105.644	200
58	0.649234	114.695	9.02191	105.683	200
59	0.65004	115.553	9.02922	105.725	200
60	0.650385	115.561	9.03595	105.766	200
61	0.650665	115.765	9.04397	105.808	200
62	0.650897	115.63	9.05024	105.848	200
63	0.651095	115.742	9.05704	105.887	200
64	0.730908	104.223	8.99929	105.881	200
65	0.731627	104.834	8.93717	105.877	200
66	0.732665	104.761	8.87791	105.873	200
67	0.733703	105.702	8.81195	105.872	200
68	0.734387	105.474	8.75008	105.871	200
69	0.735225	106.227	8.68836	105.872	200
70	0.736097	106.066	8.62769	105.873	200
71	0.737228	107.06	8.57455	105.877	200
72	0.738047	107.391	8.52552	105.882	200
73	0.738846	108.023	8.48118	105.889	200
74	0.73974	107.711	8.43618	105.896	200
75	0.741245	108.873	8.3993	105.906	200
76	0.742645	108.95	8.36407	105.916	200
77	0.743143	109.386	8.33187	105.927	200
78	0.74363	109.468	8.30116	105.938	200
79	0.744118	109.864	8.27311	105.951	200
80	0.744577	109.55	8.2439	105.962	200
81	0.748132	112.895	8.2357	105.984	200
82	0.748641	112.928	8.22783	106.005	200
83	0.749085	113.226	8.22168	106.027	200
84	0.749529	113.16	8.2152	106.048	200
85	0.749973	113.535	8.21087	106.071	200
86	0.750478	113.636	8.20711	106.093	200
87	0.750929	114.002	8.20538	106.116	200
88	0.751397	113.953	8.20328	106.138	200
89	0.751846	114.341	8.20328	106.161	200
90	0.752208	114.258	8.20269	106.184	200
91	0.752618	114.557	8.20364	106.207	200
92	0.753893	113.889	8.2008	106.228	200
93	0.75423	114.14	8.19923	106.249	200
94	0.754988	114.303	8.19846	106.271	200
95	0.755731	114.949	8.20101	106.294	200
96	0.756581	115.334	8.20538	106.317	200
97	0.757261	115.934	8.21273	106.342	200
98	0.757964	114.618	8.21305	106.364	200
99	0.758302	114.79	8.21414	106.385	200
100	0.759151	114.679	8.21454	106.406	200
101	0.759793	115.198	8.21743	106.428	200
102	0.760564	115.57	8.22196	106.45	200
103	0.761587	116.591	8.23137	106.475	200
104	0.761919	116.69	8.24091	106.5	200
105	0.762503	117.187	8.25267	106.525	200
106	0.763332	117.722	8.26655	106.552	200
107	0.763828	118.208	8.28254	106.579	200
108	0.764583	118.711	8.30037	106.607	200
109	0.765642	119.72	8.32265	106.638	200
110	0.766232	120.081	8.34592	106.668	200
111	0.76673	120.518	8.37094	106.7	200
112	0.767577	121.028	8.39754	106.732	200
113	0.768373	121.836	8.42748	106.765	200
114	0.769138	122.388	8.45903	106.8	200
115	0.769771	122.928	8.49267	106.835	200
116	0.770353	120.654	8.51563	106.865	200
117	0.771054	121.241	8.54089	106.896	200
118	0.771713	121.525	8.56669	106.927	200
119	0.772444	122.176	8.595	106.959	200
120	0.774013	123.468	8.62797	106.993	200
121	0.774526	123.905	8.66249	107.029	200
122	0.775638	124.789	8.69977	107.065	200
123	0.776149	125.27	8.73873	107.102	200
124	0.776586	125.557	8.77791	107.14	200
125	0.777003	125.956	8.81838	107.177	200
126	0.777535	126.308	8.85931	107.215	200
127	0.78031	129.035	8.91074	107.259	200
128	0.83482	103.695	8.88985	107.252	200
129	0.836103	104.897	8.86432	107.247	200
130	0.837344	105.568	8.83669	107.244	200
131	0.838234	106.386	8.806	107.242	200
132	0.839279	106.465	8.77559	107.241	200
133	0.840046	107.169	8.74262	107.241	200
134	0.841283	107.397	8.71058	107.241	200
135	0.842	108.063	8.68114	107.242	200
136	0.842932	108.395	8.65347	107.245	200
137	0.844062	109.401	8.62958	107.249	200
138	0.844707	109.306	8.60577	107.252	200
139	0.845576	110.121	8.58498	107.258	200
140	0.846952	110.606	8.56628	107.263	200
141	0.847584	111.269	8.54999	107.271	200
142	0.847743	110.34	8.53069	107.276	200
143	0.848884	111.344	8.51498	107.283	200
144	0.849384	111.181	8.49895	107.29	200
145	0.850258	111.967	8.48568	107.298	200
146	0.85102	112.02	8.47279	107.306	200
147	0.851788	112.683	8.46219	107.315	200
148	0.8523	112.338	8.45057	107.324	200
149	0.853145	113.081	8.44147	107.334	200
150	0.85777	115.749	8.44138	107.348	200
151	0.858754	116.421	8.44349	107.363	200
152	0.859749	116.842	8.4469	107.378	200
153	0.860269	117.388	8.45204	107.395	200
154	0.860426	117.154	8.45628	107.411	200
155	0.860542	117.178	8.46054	107.426	200
156	0.860657	116.899	8.46378	107.442	200
157	0.860774	116.93	8.46706	107.457	200
158	0.860904	116.654	8.46938	107.471	200
159	0.861014	116.69	8.47175	107.486	200
160	0.862104	117.324	8.47602	107.501	200
161	0.862337	117.482	8.48072	107.517	200
162	0.863024	114.706	8.47673	107.528	200
163	0.863846	115.432	8.47496	107.54	200
164	0.864586	115.807	8.47433	107.553	200
165	0.865466	116.618	8.47613	107.567	200
166	0.866004	116.793	8.47839	107.581	200
167	0.866773	117.505	8.48274	107.596	200
168	0.867526	117.871	8.48808	107.611	200
169	0.868428	118.689	8.49578	107.627	200
170	0.868939	118.818	8.50371	107.644	200
171	0.869904	119.693	8.51414	107.661	200
172	0.870431	119.813	8.52471	107.679	200
173	0.871214	120.525	8.53727	107.698	200
174	0.872044	120.954	8.55083	107.717	200
175	0.87282	121.676	8.56637	107.737	200
176	0.873574	122.001	8.58256	107.757	200
177	0.874623	122.932	8.60129	107.779	200
178	0.875136	123.157	8.62032	107.8	200
179	0.87605	123.995	8.6416	107.823	200
180	0.876569	124.242	8.6632	107.846	200
181	0.878134	125.651	8.6886	107.871	200
182	0.878435	125.708	8.71373	107.895	200
183	0.878697	125.912	8.73929	107.92	200
184	0.879665	125.643	8.7637	107.944	200
185	0.880194	126.108	8.78925	107.969	200
186	0.881184	126.847	8.81637	107.994	200
187	0.881648	127.265	8.84447	108.02	200
188	0.882625	127.476	8.8727	108.046	200
189	0.883111	127.912	8.90193	108.072	200
190	0.883973	128.053	8.93109	108.098	200
191	0.884466	128.443	8.96112	108.125	200
192	0.885578	128.787	8.9916	108.152	200
193	0.885999	129.127	9.0228	108.179	200
194	0.886727	129.197	9.05372	108.207	200
195	0.887658	130.017	9.08659	108.235	200
196	0.888242	130.148	9.11931	108.263	200
197	0.891655	133.487	9.1604	108.295	200
198	0.891911	133.539	9.20101	108.327	200
199	0.892071	133.658	9.24175	108.359	200
200	0.892183	132.92	9.28005	108.389	200
201	0.892293	132.99	9.31835	108.42	200
202	0.89379	133.864	9.35826	108.452	200
203	0.894005	134.014	9.39837	108.483	200
204	0.894294	133.44	9.43651	108.514	200
205	0.896755	135.766	9.48017	108.547	200
206	0.896935	135.242	9.52195	108.58	200
207	0.897092	135.35	9.56382	108.612	200
208	0.897202	135.206	9.60476	108.644	200
209	0.897585	135.545	9.64634	108.676	200
210	0.898549	135.879	9.68813	108.709	200
211	0.899037	136.319	9.73081	108.742	200
212	0.899816	136.34	9.77295	108.774	200
213	0.901518	137.887	9.81856	108.809	200
214	0.902674	138.656	9.86536	108.843	200
215	0.903194	139.198	9.91323	108.879	200
216	0.903372	138.639	9.95917	108.913	200
217	0.903507	138.712	10.0051	108.948	200
218	0.904704	138.781	10.0506	108.982	200
219	0.906091	140.102	10.0989	109.018	200
220	0.906845	140.446	10.1474	109.053	200
221	0.907064	140.619	10.196	109.089	200
222	0.907211	140.367	10.2435	109.124	200
223	0.908444	141.523	10.2934	109.161	200
224	0.908654	140.917	10.3413	109.196	200
225	0.909112	141.253	10.3898	109.232	200
226	0.910012	141.525	10.4383	109.268	200
227	0.910512	141.99	10.4876	109.304	200
228	0.911525	142.218	10.5367	109.34	200
229	0.912255	142.878	10.5872	109.377	200
230	0.912932	142.989	10.6372	109.414	200
231	0.913527	143.541	10.6883	109.451	200
232	0.91471	144.119	10.74	109.488	200
233	0.915153	144.607	10.7925	109.526	200
234	0.915829	144.643	10.8445	109.563	200
235	0.916338	145.072	10.8972	109.601	200
236	0.917288	145.444	10.9501	109.639	200
237	0.917746	145.877	11.0036	109.678	200
238	0.921551	148.935	11.063	109.719	200
239	0.92184	149.167	11.1226	109.76	200
240	0.921992	147.848	11.1788	109.8	200
241	0.922128	147.886	11.2349	109.84	200
242	0.922259	147.603	11.2897	109.879	200
243	0.922399	147.686	11.3445	109.918	200
244	0.925396	149.583	11.4025	109.958	200
245	0.925682	149.822	11.4608	109.999	200
246	0.925829	149.562	11.5179	110.039	200
247	0.925974	149.627	11.575	110.08	200
248	0.9261	149.395	11.6309	110.119	200
249	0.926607	149.831	11.6875	110.159	200
250	0.927118	150.027	11.7439	110.199	200
251	0.92803	150.868	11.8017	110.24	200
252	0.928543	150.864	11.8589	110.28	200
253	0.929078	151.34	11.9169	110.321	200
254	0.929558	149.065	11.9697	110.359	200
255	0.930079	149.514	12.0232	110.398	200
256	0.938316	103.393	12.0134	110.391	200
257	0.939591	104.586	12.0013	110.385	200
258	0.941095	104.857	11.9887	110.38	200
259	0.942377	106.02	11.9739	110.375	200
260	0.943091	105.67	11.9599	110.371	200
261	0.945051	107.585	11.9423	110.368	200
262	0.948448	110.015	11.9202	110.368	200
263	0.951182	112.737	11.902	110.37	200
264	0.954781	115.401	11.8889	110.375	200
265	0.959229	119.854	11.8844	110.384	200
266	0.959897	119.788	11.8797	110.393	200
267	0.960391	120.256	11.8759	110.402	200
268	0.961174	119.825	11.8714	110.411	200
269	0.961956	120.587	11.8682	110.42	200
270	0.962862	120.784	11.8654	110.43	200
271	0.963337	121.25	11.8635	110.44	200
272	0.96439	121.374	11.8618	110.45	200
273	0.964845	121.819	11.8609	110.46	200
274	0.965731	121.528	11.8594	110.471	200
275	0.966424	122.195	11.8592	110.481	200
276	0.967396	122.553	11.8596	110.492	200
277	0.968426	123.491	11.8616	110.504	200
