segment	time	rtt	rttvar	srtt	rto
1	0.105135	104.631	52.3153	104.631	313.892
2	0.20999	104.384	39.2981	104.6	261.792
3	0.210437	104.777	29.518	104.622	222.694
4	0.314819	104.472	22.1759	104.603	200
5	0.315852	105.149	16.7684	104.671	200
6	0.316559	105.688	12.8303	104.798	200
7	0.420099	104.704	11.2384	104.793	200
8	0.420605	104.431	9.87875	104.77	200
9	0.422433	105.312	8.7117	104.804	200
10	0.423286	106.326	7.81302	104.899	200
11	0.524842	104.276	6.91429	104.86	200
12	0.525301	104.438	6.1028	104.834	200
13	0.527426	104.285	5.40854	104.799	200
14	0.527907	104.318	4.79266	104.769	200
15	0.528412	104.709	4.20111	104.766	200
16	0.629051	103.798	3.93166	104.725	200
17	0.629391	103.873	3.675	104.69	200
18	0.631202	103.343	3.48095	104.634	200
19	0.631559	103.402	3.29353	104.582	200
20	0.632894	104.206	3.05045	104.567	200
21	0.633555	104.722	2.80916	104.573	200
22	0.733329	103.872	2.63352	104.544	200
23	0.734046	104.41	2.42523	104.538	200
24	0.736481	104.94	2.25664	104.555	200
25	0.736966	105.131	2.11661	104.579	200
26	0.737462	104.256	1.96715	104.566	200
27	0.738427	104.607	1.80664	104.567	200
28	0.74513	111.17	2.20634	104.842	200
29	0.838606	104.713	2.07651	104.838	200
30	0.839205	104.697	1.95556	104.834	200
31	0.84102	104.166	1.87511	104.813	200
32	0.841513	104.218	1.79513	104.794	200
33	0.842455	104.715	1.68791	104.792	200
34	0.843199	104.491	1.60124	104.783	200
35	0.84994	104.447	1.52211	104.772	200
36	0.850539	104.996	1.44096	104.779	200
37	0.94319	104.085	1.3943	104.757	200
38	0.943747	104.229	1.34018	104.741	200
39	0.946034	104.645	1.26238	104.738	200
40	0.94664	104.813	1.1882	104.74	200
41	0.947668	104.81	1.11831	104.742	200
42	0.948187	104.679	1.05237	104.74	200
43	0.95382	103.372	1.0721	104.698	200
44	0.954367	103.537	1.07762	104.661	200
45	0.955179	104.271	1.03467	104.649	200
46	1.048	104.389	0.995938	104.643	200
47	1.04869	104.617	0.94741	104.642	200
48	1.05151	105.063	0.921063	104.653	200
49	1.05214	105.069	0.895807	104.663	200
50	1.05273	104.758	0.85578	104.665	200
51	1.05314	104.679	0.81366	104.666	200
52	1.05767	103.563	0.82811	104.638	200
53	1.05818	103.51	0.843133	104.61	200
54	1.05963	104.175	0.822729	104.599	200
55	1.06008	104.549	0.784078	104.598	200
56	1.1526	104.115	0.768992	104.586	200
57	1.15357	104.546	0.732537	104.585	200
58	1.15554	103.675	0.741383	104.562	200
59	1.15642	103.963	0.734256	104.547	200
60	1.15707	104.038	0.722989	104.534	200
61	1.15789	104.431	0.692027	104.532	200
62	1.16139	103.346	0.716699	104.502	200
63	1.16175	103.33	0.739491	104.473	200
64	1.16328	103.322	0.760069	104.444	200
65	1.16374	103.389	0.774791	104.418	200
66	1.25763	104.538	0.742056	104.421	200
67	1.25891	105.707	0.764724	104.447	200
68	1.25974	105.873	0.792267	104.477	200
69	1.26092	105.009	0.781421	104.488	200
70	1.2618	105.013	0.770728	104.499	200
71	1.26263	105.173	0.766687	104.513	200
72	1.26304	104.842	0.748442	104.52	200
73	1.26494	103.203	0.772128	104.493	200
74	1.26526	103.337	0.788117	104.469	200
75	1.26694	103.317	0.803248	104.445	200
76	1.2674	103.374	0.814398	104.422	200
77	1.36257	104.412	0.780899	104.422	200
78	1.36346	105.295	0.784744	104.44	200
79	1.36463	105.251	0.785847	104.457	200
80	1.36518	105.139	0.78153	104.471	200
81	1.36614	104.88	0.765982	104.48	200
82	1.36727	105.096	0.759729	104.493	200
83	1.36779	104.88	0.744193	104.501	200
84	1.36922	105.946	0.773416	104.531	200
85	1.36975	104.551	0.742035	104.531	200
86	1.37074	105.274	0.742062	104.547	200
87	1.37161	104.336	0.719919	104.542	200
88	1.37206	104.427	0.694734	104.54	200
89	1.46771	104.561	0.666648	104.54	200
90	1.46879	104.939	0.6555	104.549	200
91	1.46958	105.614	0.672588	104.571	200
92	1.4705	105.459	0.680297	104.587	200
93	1.47149	105.981	0.705791	104.612	200
94	1.47223	105.7	0.719472	104.631	200
95	1.47329	105.596	0.728255	104.648	200
96	1.47393	105.868	0.745806	104.67	200
97	1.47512	105.449	0.746986	104.684	200
98	1.47573	105.627	0.753973	104.701	200
99	1.47636	105.199	0.744828	104.71	200
100	1.47741	105.448	0.744591	104.723	200
101	1.4778	105.498	0.745692	104.737	200
102	1.57258	104.434	0.729855	104.731	200
103	1.57342	104.253	0.72087	104.723	200
104	1.57483	104.945	0.703056	104.727	200
105	1.57555	105.587	0.708685	104.742	200
106	1.57649	105.666	0.716371	104.759	200
107	1.57738	105.659	0.722959	104.775	200
108	1.57832	105.796	0.733629	104.793	200
109	1.5795	105.863	0.74566	104.812	200
110	1.58003	105.84	0.755734	104.83	200
111	1.58076	105.374	0.748141	104.84	200
112	1.58174	105.758	0.75422	104.857	200
113	1.58251	105.923	0.765356	104.876	200
114	1.58334	105.63	0.764966	104.889	200
115	1.58375	105.726	0.767541	104.904	200
116	1.67765	104.608	0.750717	104.899	200
117	1.67837	104.598	0.734632	104.893	200
118	1.68042	105.295	0.722746	104.901	200
119	1.68094	105.118	0.704688	104.904	200
120	1.68216	106.243	0.727322	104.928	200
121	1.68276	106.036	0.739201	104.946	200
122	1.68366	106.033	0.750082	104.963	200
123	1.68479	106.232	0.766299	104.982	200
124	1.68598	106.206	0.780581	105.002	200
125	1.68746	107.15	0.823332	105.035	200
126	1.6883	107.326	0.869192	105.071	200
127	1.68895	106.914	0.899639	105.1	200
128	1.68981	107.039	0.932136	105.13	200
129	1.69023	106.601	0.94897	105.153	200
130	1.69068	106.665	0.966551	105.177	200
131	1.78251	104.372	0.961488	105.164	200
132	1.78351	104.811	0.942477	105.159	200
133	1.78561	104.842	0.922927	105.154	200
134	1.7865	105.265	0.89756	105.155	200
