time	cwndsize
0.105081	2
0.20995	2.5
0.210411	3
0.314783	3.33333
0.315825	3.66667
0.316531	4
0.419987	4.25
0.420577	4.5
0.422393	4.75
0.423258	5
0.524802	5.2
0.525283	5.4
0.527393	5.6
0.52788	5.8
0.528386	6
0.629014	6.16667
0.629374	6.33333
0.63117	6.5
0.631538	6.66667
0.63287	6.83333
0.633525	7
0.733282	7.14286
0.734016	7.28571
0.736444	7.42857
0.736939	7.57143
0.737435	7.71429
0.738404	7.85714
0.7451	8
0.838569	8.125
0.839179	8.25
0.840922	8.375
0.841447	8.5
0.842429	8.625
0.843166	8.75
0.849895	8.875
0.85051	9
0.943148	9.11111
0.94372	9.22222
0.946009	9.33333
0.946611	9.44444
0.947636	9.55556
0.94816	9.66667
0.953796	9.77778
0.954339	9.88889
0.955156	10
1.04795	10.1
1.04866	10.2
1.05145	10.3
1.05211	10.4
1.0527	10.5
1.05312	10.6
1.05763	10.7
1.05815	10.8
1.05959	10.9
1.06005	11
1.15256	11.1
1.15354	11.1909
1.15551	11.2818
1.15639	11.3727
1.15704	11.4636
1.15786	11.5545
1.16137	11.6455
1.16173	11.7364
1.16326	11.8273
1.16372	11.9182
1.25759	12.0091
1.25889	12.0924
1.25972	12.1758
1.2609	12.2591
1.26177	12.3424
1.26253	12.4258
1.26298	12.5091
1.26491	12.5924
1.26524	12.6758
1.26691	12.7591
1.26739	12.8424
1.36253	12.9258
1.36341	13.0091
1.36459	13.086
1.36516	13.1629
1.36611	13.2399
1.36724	13.3168
1.36777	13.3937
1.36919	13.4706
1.36972	13.5476
1.37071	13.6245
1.37157	13.7014
1.37204	13.7783
1.46766	13.8552
1.46876	13.9322
1.46956	14.0091
1.47048	14.0805
1.47147	14.1519
1.47219	14.2234
1.47326	14.2948
1.47391	14.3662
1.47509	14.4377
1.47569	14.5091
1.47634	14.5805
1.47737	14.6519
1.47778	14.7234
1.57253	14.7948
1.57339	14.8662
1.57481	14.9377
1.57553	15.0091
1.57647	15.0758
1.57737	15.1424
1.5783	15.2091
1.57947	15.2758
1.58001	15.3424
1.58074	15.4091
1.58171	15.4758
1.58249	15.5424
1.58332	15.6091
1.58373	15.6758
1.6776	15.7424
1.67834	15.8091
1.68039	15.8758
1.68091	15.9424
1.68213	16.0091
1.68273	16.0716
1.68363	16.1341
1.68476	16.1966
1.68595	16.2591
1.68743	16.3216
1.68828	16.3841
1.68892	16.4466
1.68978	16.5091
1.69021	16.5716
1.69066	16.6341
1.78247	16.6966
1.78347	16.7591
1.78558	16.8216
1.78647	16.8841
1.78742	16.9466
1.78817	17.0091
1.79508	17.0679
1.79768	17.1267
1.79865	17.1856
1.79929	17.2444
1.79975	17.3032
1.80078	17.362
1.80134	17.4209
1.80184	17.4797
1.80221	17.5385
1.80259	17.5973
1.88719	17.6561
1.88786	17.715
1.88976	17.7738
1.89046	17.8326
1.89175	17.8914
1.89268	17.9503
1.89306	18.0091
1.89953	18.0646
1.90272	18.1202
1.90327	18.1758
1.90388	18.2313
1.90486	18.2869
1.90571	18.3424
1.90656	18.398
1.90752	18.4535
1.90817	18.5091
1.90855	18.5646
1.99177	18.6202
1.99272	18.6758
1.99441	18.7313
1.99537	18.7869
1.99635	18.8424
1.99724	18.898
1.99763	18.9535
1.9985	19.0091
2.00289	19.0617
2.00645	19.1144
2.0073	19.167
2.00828	19.2196
2.00932	19.2722
2.0102	19.3249
2.01058	19.3775
2.01191	19.4301
2.01283	19.4828
2.01336	19.5354
2.0966	19.588
2.09732	19.6407
2.09883	19.6933
2.0994	19.7459
2.10068	19.7986
2.1018	19.8512
2.10256	19.9038
2.10335	19.9565
2.10422	20.0091
2.10642	20.0591
2.11075	20.1091
2.1112	20.1591
2.11241	20.2091
2.11299	20.2591
2.11433	20.3091
2.11519	20.3591
2.11576	20.4091
2.1171	20.4591
2.11797	20.5091
2.20159	20.5591
2.20224	20.6091
2.20385	20.6591
2.20465	20.7091
2.20585	20.7591
2.20656	20.8091
2.20784	20.8591
2.20837	20.9091
