time	cwndsize
0.00486023	2
0.00962833	3
0.0104594	4
0.0140452	5
0.0146003	6
0.0158582	7
0.0164295	8
0.0189938	9
0.0194144	10
0.0201522	11
0.0224529	12
0.0232628	13
0.0238392	14
0.0255361	15
0.027687	16
0.0283807	17
0.0289423	18
0.0294869	19
0.0300435	20
0.030598	21
0.0312296	22
0.0317795	23
0.0323434	24
0.0329928	25
0.0339421	26
0.0348795	27
0.0362644	28
0.0381413	29
0.0387817	30
0.0392875	31
0.0395596	32
0.0398857	33
0.0401523	34
0.040412	35
0.0406814	36
0.0409509	37
0.0412026	38
0.0414858	39
0.0417918	40
0.0421081	41
0.044158	42
0.0443611	43
0.0447095	44
0.0455038	45
0.0466906	46
0.0474768	47
0.0480369	48
0.0488471	49
0.0493251	50
0.0541326	51
0.0548397	52
0.0669914	53
0.0771133	54
0.0776099	55
0.0779718	56
0.0784825	57
0.0793721	58
0.0797402	59
0.080515	60
0.0812778	61
0.0821925	62
0.0830175	63
0.0838397	64
0.0843656	65
0.0856829	66
0.0863484	67
0.0866023	68
0.0876884	69
0.0885428	70
0.089422	71
0.0902707	72
0.0911288	73
0.0920033	74
0.0927732	75
0.0932875	76
0.0941741	77
0.0949594	78
0.0957606	79
0.0965783	80
0.0974221	81
0.0978922	82
0.0985056	83
0.104232	84
0.122281	85
0.124471	86
0.125067	87
0.125583	88
0.126186	89
0.127155	90
0.127744	91
0.12864	92
0.12952	93
0.130389	94
0.131191	95
0.132075	96
0.132936	97
0.133727	98
0.134549	99
0.135359	100
0.13616	101
0.136969	102
0.137779	103
0.138863	104
0.139699	105
0.140304	106
0.141221	107
0.142054	108
0.142844	109
0.143662	110
0.1448	111
0.145675	112
0.146966	113
0.147646	114
0.148405	115
0.148873	116
0.14965	117
0.154116	118
0.165723	119
0.173573	120
0.174222	121
0.174611	122
0.175334	123
0.176084	124
0.176588	125
0.176998	126
0.178025	127
0.178659	128
0.179239	129
0.179836	130
0.180736	131
0.181636	132
0.182237	133
0.183036	134
0.18398	135
0.184586	136
0.185313	137
0.18627	138
0.187433	139
0.188103	140
0.188674	141
0.189343	142
0.190243	143
0.190934	144
0.191546	145
0.192587	146
0.193179	147
0.194135	148
0.194852	149
0.195819	150
0.196435	151
0.197459	152
0.198375	153
0.198988	154
0.199543	155
0.204242	156
0.219287	157
0.226666	158
0.227434	159
0.228062	160
0.228357	161
0.228751	162
0.229592	163
0.230487	164
0.231361	165
0.231921	166
0.232914	167
0.233809	168
0.234579	169
0.235109	170
0.235971	171
0.236868	172
0.237641	173
0.238157	174
0.239116	175
0.239953	176
0.240471	177
0.241322	178
0.242316	179
0.24323	180
0.243711	181
0.244583	182
0.245248	183
0.246125	184
0.246818	185
0.247712	186
0.248235	187
0.24875	188
0.253591	189
0.270409	190
0.273407	191
0.274121	192
0.274616	193
0.275415	194
0.276265	195
0.277207	196
0.278158	197
0.278933	198
0.279712	199
0.28047	200
0.281286	201
0.282121	202
0.282645	203
0.283679	204
0.284231	205
0.284982	206
0.285952	207
0.287306	208
0.288053	209
0.288355	210
0.288907	211
0.28967	212
0.290534	213
0.29141	214
0.291953	215
0.292696	216
0.293551	217
0.294495	218
0.295087	219
0.296272	220
0.297193	221
0.297668	222
0.298187	223
0.298685	224
0.303746	225
0.319088	226
0.323348	227
0.323972	228
0.324374	229
0.324903	230
0.325646	231
0.326537	232
0.32747	233
0.328288	234
0.329067	235
0.329568	236
0.330434	237
0.331289	238
0.332221	239
0.332724	240
0.333486	241
0.334299	242
0.335106	243
0.336021	244
0.336849	245
0.337694	246
0.338207	247
0.338989	248
0.339923	249
0.340762	250
0.341274	251
0.342129	252
0.342947	253
0.343846	254
0.344297	255
0.345152	256
0.345955	257
0.346801	258
0.347636	259
0.348158	260
0.349015	261
0.35394	262
0.371002	263
0.375584	264
0.376027	265
0.376871	266
0.377319	267
0.377822	268
0.378678	269
0.37957	270
0.380152	271
0.380982	272
0.381842	273
0.38264	274
0.383174	275
0.383947	276
0.384787	277
0.385783	278
0.386681	279
0.387354	280
0.387927	281
0.388697	282
0.389545	283
0.390504	284
0.391335	285
0.391899	286
0.392695	287
0.393574	288
0.394499	289
0.395382	290
0.396214	291
0.396749	292
0.397371	146
0.39762	146.007
0.398129	146.014
0.398949	146.021
0.403449	146.027
0.415354	146.034
0.417256	146.041
0.418188	146.048
0.419615	146.055
0.419986	146.062
0.420182	146.068
0.42074	146.075
0.421331	146.082
0.421515	146.089
0.422154	146.096
0.422689	146.103
0.423662	146.11
0.423933	146.116
0.424268	146.123
0.424797	146.13
0.42529	146.137
0.425809	146.144
0.426324	146.151
0.426827	146.158
0.427361	146.164
0.427874	146.171
0.428379	146.178
0.428882	146.185
0.429095	146.192
0.429662	146.199
0.43018	146.205
0.430648	146.212
0.431216	146.219
0.431722	146.226
0.432256	146.233
0.432429	146.24
0.432971	146.247
0.433487	146.253
0.434046	146.26
0.434523	146.267
0.435032	146.274
0.43555	146.281
0.435778	146.288
0.43629	146.295
0.436813	146.301
0.43736	146.308
0.437875	146.315
0.438387	146.322
0.438905	146.329
0.439381	146.336
0.439915	146.342
0.440167	146.349
0.440676	146.356
0.441198	146.363
0.441837	146.37
0.442415	146.377
0.44289	146.384
0.443522	146.39
0.444009	146.397
0.444462	146.404
0.44549	146.411
0.445914	146.418
0.446619	146.425
0.447174	146.432
0.447658	146.438
0.447939	146.445
0.448428	146.452
0.448948	146.459
0.449476	146.466
0.450062	146.473
0.451848	146.479
0.452346	146.486
0.453002	146.493
0.453592	146.5
0.454172	146.507
0.454711	146.514
0.455005	146.521
0.45549	146.527
0.45606	146.534
0.456642	146.541
0.457249	146.548
0.457547	146.555
0.458037	146.562
0.458655	146.568
0.458964	146.575
0.459487	146.582
0.46042	146.589
0.461252	146.596
0.461963	146.603
0.462566	146.61
0.463096	146.616
0.463672	146.623
0.464665	146.63
0.466045	146.637
0.467239	146.644
0.467909	146.651
0.468748	146.658
0.469458	146.664
0.469997	146.671
0.470585	146.678
0.471179	146.685
0.471477	146.692
0.472046	146.699
0.472385	146.705
0.472928	146.712
0.473454	146.719
0.473929	146.726
0.474477	146.733
0.475088	146.74
0.475647	146.747
0.475841	146.753
0.476415	146.76
0.476979	146.767
0.477579	146.774
0.478057	146.781
0.4786	146.788
0.479164	146.795
0.479813	146.801
0.480226	146.808
0.480967	146.815
0.481475	146.822
0.48202	146.829
0.482659	146.836
0.483201	146.842
0.483381	146.849
0.484025	146.856
0.484427	146.863
0.484936	146.87
0.485195	146.877
0.485668	146.884
0.486337	146.89
0.486929	146.897
0.487425	146.904
0.487676	146.911
0.488318	146.918
0.48895	146.925
0.489449	146.932
0.489827	146.938
0.490393	146.945
0.490682	146.952
0.491243	146.959
0.491799	146.966
0.492149	146.973
0.49269	146.979
0.493328	146.986
0.493916	146.993
0.494476	147
0.495062	147.007
0.495667	147.014
0.496085	147.02
