segment	time	rtt	rttvar	srtt	rto
1	0.00521377	4.69331	2.34665	4.69331	200
2	0.00997968	4.23746	1.87395	4.63633	200
3	0.0105642	4.82685	1.4531	4.66014	200
4	0.0142265	3.84704	1.2931	4.5585	200
5	0.0149521	3.62616	1.20291	4.44196	200
6	0.0162605	4.75315	0.97998	4.48086	200
7	0.018692	4.11039	0.90379	4.45771	200
8	0.0191654	3.90474	0.859938	4.42314	200
9	0.0203152	3.71651	0.840774	4.37898	200
10	0.0208658	4.19068	0.759216	4.36721	200
11	0.0224639	3.45389	0.778479	4.31013	200
12	0.0236637	4.11654	0.705368	4.29803	200
13	0.0245186	3.88113	0.66931	4.27197	200
14	0.0250851	3.9128	0.630542	4.24952	200
15	0.0259609	4.62682	0.598886	4.27311	200
16	0.0270422	4.27512	0.549146	4.27319	200
17	0.0280305	3.88206	0.535978	4.25689	200
18	0.0297523	4.07421	0.506537	4.24928	200
19	0.0302585	4.82644	0.512422	4.27333	200
20	0.0363646	10.0132	0.948046	4.51249	200
21	0.0368575	10.4024	1.35987	4.75791	200
22	0.0405085	13.1276	1.94402	5.10664	200
23	0.0407527	12.4846	2.39685	5.41406	200
24	0.0409652	10.9174	2.65572	5.64336	200
25	0.0411784	10.6447	2.85119	5.85175	200
26	0.0413879	4.69704	2.70982	5.80364	200
27	0.0435714	6.49424	2.54155	5.83242	200
28	0.0448629	7.66862	2.48277	5.90892	200
29	0.0460927	5.42357	2.35793	5.89376	200
30	0.0472862	6.38195	2.24108	5.90901	200
31	0.0483495	7.21517	2.18264	5.94983	200
32	0.0494308	8.08151	2.17946	6.01644	200
33	0.0501158	8.58963	2.20407	6.09686	200
34	0.0507601	7.03424	2.1249	6.12615	200
35	0.0514116	6.36874	2.00725	6.13373	200
36	0.0524605	7.37202	1.95919	6.17243	200
37	0.0533081	7.05031	1.89161	6.19986	200
38	0.0539731	6.53193	1.79414	6.21024	200
39	0.0545093	5.97802	1.69652	6.20298	200
40	0.0552913	5.6803	1.62316	6.18665	200
41	0.0562662	5.98237	1.53448	6.18026	200
42	0.0573529	6.30551	1.4464	6.18418	200
43	0.0581302	6.37599	1.36799	6.19017	200
44	0.0589667	6.30819	1.28986	6.19386	200
45	0.0591884	6.52121	1.22971	6.20409	200
