time	pps	kbps
0.300382	2906.67	102408
0.600987	3513.33	123782
0.901254	2103.33	74104.6
1.20146	5856.67	206342
1.50176	5710	201175
1.80195	5883.33	207282
2.10225	5700	200822
2.40235	5883.33	207282
2.70263	5763.33	203054
3.00295	5706.67	201057
3.30323	5720	201527
3.60342	5806.67	204580
3.90366	5873.33	206929
4.20403	5876.67	207047
4.50427	5793.33	204111
4.80471	5623.33	198121
5.10503	5713.33	201292
5.40528	5776.67	203524
5.70551	5890	207516
6.00586	5686.67	200353
6.30675	5586.67	196829
6.6071	5603.33	197417
6.90734	5566.67	196125
7.20765	5583.33	196712
7.50799	5463.33	192484
7.80833	5493.33	193541
8.10863	5450	192014
8.40893	5393.33	190018
8.70915	5753.33	202701
