segment	time	rtt	rttvar	srtt	rto
1	0.10385	103.423	51.7115	103.423	310.269
2	0.20813	103.853	38.891	103.477	259.041
3	0.208631	104.318	29.3786	103.582	221.096
4	0.312349	103.695	25.7205	103.589	206.471
5	0.31299	104.462	22.6145	103.644	200
6	0.313474	104.601	20.8098	103.683	200
7	0.313974	105.037	19.1884	103.74	200
8	0.417094	104.251	18.0211	103.756	200
9	0.417605	104.79	16.9595	103.788	200
10	0.41844	105.146	16.1794	103.822	200
11	0.418948	105.62	15.4603	103.867	200
12	0.419734	105.966	14.9036	103.911	200
13	0.42024	106.416	14.387	103.963	200
14	0.420762	106.544	13.9654	104.009	200
15	0.421355	107.023	13.509	104.072	200
16	0.521137	103.569	13.0445	104.063	200
17	0.522442	104.912	12.609	104.078	200
18	0.522968	105.132	12.2479	104.095	200
19	0.523592	105.694	11.9151	104.12	200
20	0.524076	105.348	11.6182	104.137	200
21	0.524805	105.976	11.3466	104.162	200
22	0.52553	106.357	11.0924	104.193	200
23	0.526641	107.393	10.8951	104.233	200
24	0.527317	107.285	10.699	104.271	200
25	0.528347	108.181	10.5447	104.315	200
26	0.528853	108.406	10.3981	104.362	200
27	0.530032	109.49	10.2783	104.42	200
28	0.530693	109.082	10.1613	104.469	200
29	0.531083	109.374	10.0518	104.52	200
30	0.624895	103.309	9.86759	104.507	200
31	0.62549	103.825	9.69095	104.5	200
32	0.626788	104.029	9.51365	104.496	200
33	0.627836	104.987	9.34013	104.501	200
34	0.628714	105.487	9.17949	104.51	200
35	0.629559	106.255	9.04673	104.526	200
36	0.630617	106.743	8.92477	104.546	200
37	0.631054	107.116	8.8113	104.568	200
38	0.632055	107.749	8.71746	104.595	200
39	0.632991	108.62	8.63925	104.629	200
40	0.633476	108.483	8.5595	104.661	200
41	0.634507	108.716	8.48442	104.694	200
42	0.634945	109.087	8.42048	104.729	200
43	0.637604	110.692	8.38209	104.775	200
44	0.639002	111.218	8.35178	104.826	200
45	0.639528	111.892	8.3317	104.881	200
46	0.639925	112.252	8.31757	104.935	200
47	0.640188	111.617	8.29353	104.984	200
48	0.640509	111.461	8.26682	105.032	200
49	0.641226	112.044	8.24837	105.083	200
50	0.641969	111.537	8.22344	105.128	200
51	0.642479	111.948	8.20394	105.176	200
52	0.64343	112.515	8.19193	105.227	200
53	0.644041	112.709	8.18208	105.279	200
54	0.644648	113.245	8.17908	105.334	200
55	0.728957	103.616	8.09407	105.323	200
56	0.729735	104.35	8.00036	105.316	200
57	0.730352	104.645	7.90392	105.312	200
58	0.731226	104.119	7.81561	105.304	200
59	0.73189	104.609	7.72192	105.299	200
60	0.732805	104.653	7.63348	105.295	200
61	0.733612	104.588	7.5469	105.291	200
62	0.734557	105.432	7.45432	105.292	200
63	0.735343	105.476	7.36345	105.293	200
64	0.736161	106.193	7.28266	105.298	200
65	0.737293	106.373	7.20875	105.305	200
66	0.73771	106.413	7.13613	105.311	200
67	0.738564	107.19	7.07354	105.323	200
68	0.73943	107.097	7.01045	105.333	200
69	0.740322	107.015	6.94702	105.343	200
70	0.741462	108.064	6.89899	105.359	200
