time	cwndsize
0.103758	2
0.208097	3
0.208608	4
0.312284	5
0.312964	6
0.313449	7
0.313949	8
0.417004	9
0.417585	10
0.418386	11
0.418923	12
0.419702	13
0.420213	14
0.420742	13
0.421331	14
0.521083	15.1429
0.522407	16.1995
0.522939	17.1871
0.523564	18.1181
0.524052	19.0012
0.52478	19.8432
0.525505	20.6495
0.526615	21.4244
0.527277	22.1712
0.528313	22.8929
0.528827	23.5918
0.529999	24.27
0.530672	24.9292
0.531063	25.571
0.624854	26.1967
0.625463	26.8075
0.626754	27.4043
0.627809	27.9882
0.62868	28.5599
0.629529	29.1201
0.630582	29.6695
0.631028	30.2088
0.632029	30.7385
0.632966	31.259
0.633457	31.7708
0.634482	32.2744
0.634927	32.7702
0.637571	33.2584
0.638951	33.7395
0.639498	34.2137
0.639908	34.6814
0.640173	35.1427
0.640493	35.598
0.6412	36.0475
0.641933	36.4913
0.642451	36.9298
0.643404	37.3631
0.644012	37.7913
0.644615	38.2147
0.72887	38.6334
0.7297	39.0475
0.730326	39.4573
0.731192	39.8628
0.731858	40.2641
0.73277	40.6615
0.733579	41.055
0.734527	41.4447
0.735306	41.8308
0.736126	42.2133
0.73726	42.5923
0.737684	42.968
0.738539	43.3403
0.739405	43.7095
0.740287	44.0756
0.741429	44.4386
0.741856	44.7986
0.743133	45.1558
0.744313	45.5101
0.745446	45.8617
0.745815	46.2105
0.746865	46.5568
0.752433	46.9005
0.752951	47.2416
0.758752	47.5803
0.759483	47.9166
0.760195	48.2505
0.761008	48.5821
0.761572	48.9114
0.765436	49.2385
0.766173	49.5635
0.766505	49.8863
0.766822	50.207
0.767196	50.5257
0.76754	50.8424
0.767893	51.1571
0.768316	51.4698
0.768609	51.7807
0.832607	52.0897
0.834006	52.3969
0.834982	52.7022
0.835747	53.0058
0.837006	53.3077
0.83787	53.6078
0.838357	53.9063
0.839175	54.2031
0.840205	54.4983
0.840909	54.7919
0.841811	55.0839
0.843056	55.3743
0.844064	55.6633
0.845261	55.9507
0.846212	56.2367
0.848086	56.5212
0.848494	56.8043
0.848854	57.086
0.852243	57.3662
0.856423	57.6451
0.857624	57.9227
0.858476	58.1989
0.85902	58.4739
0.859376	58.7475
0.859727	59.0198
0.860159	59.2909
0.860499	59.5608
0.860854	59.8294
0.861189	60.0968
0.861686	60.3631
0.862572	60.6281
0.863283	60.892
0.863691	61.1548
0.864615	61.4164
0.865519	61.677
0.867035	61.9364
0.868499	62.1947
0.870277	62.452
0.874935	62.7082
0.875467	62.9633
0.875861	63.2174
0.876584	63.4705
0.877326	63.7226
0.878263	63.9737
0.879289	64.2238
0.879797	64.4729
0.880217	64.7211
0.880915	64.9683
0.881571	65.2146
0.882514	65.4599
0.883131	65.7043
0.936143	65.9479
0.936658	66.1905
0.93765	66.4322
0.938098	66.673
0.93963	66.913
0.940071	67.1521
0.941055	67.3904
0.94186	67.6278
0.942842	67.8644
0.943879	68.1002
0.944963	68.3351
0.945765	68.5693
0.946257	68.8026
0.947099	69.0352
0.952344	69.2669
0.952962	69.4979
0.956533	69.7281
0.95702	69.9576
0.957517	70.1863
0.958062	70.4143
0.958545	70.6415
0.958986	70.868
0.959537	71.0938
0.960339	71.3188
0.961098	71.5432
0.96157	71.7668
0.961978	71.9898
0.963007	72.212
0.964071	72.4336
0.96495	72.6545
0.966314	72.8747
0.968106	73.0942
0.969136	73.3131
0.970512	73.5314
0.972053	73.749
0.973582	73.9659
0.97504	74.1822
0.976108	74.3979
0.976868	74.613
0.977432	74.8274
0.978232	75.0413
0.979135	75.2545
0.979634	75.4671
0.981199	75.6791
0.982344	75.8905
