time	cwndsize
0.00510503	2
0.00993172	2.5
0.0105243	3
0.0141909	3.33333
0.0149235	3.66667
0.0162292	4
0.018655	4.25
0.0191335	4.5
0.0202857	4.75
0.0208384	5
0.0224342	5.2
0.0236193	5.4
0.0244849	5.6
0.0250595	5.8
0.0258992	6
0.027016	6.16667
0.0280056	6.33333
0.0297174	6.5
0.0302349	6.66667
0.0363161	6.83333
0.0368327	7
0.0404899	7.14286
0.0407386	7.28571
0.040953	7.42857
0.0411666	7.57143
0.0413762	7.71429
0.043562	7.85714
0.0448488	8
0.0460785	8.125
0.0472715	8.25
0.0483296	8.375
0.0494118	8.5
0.0501024	8.625
0.0507402	8.75
0.0513947	8.875
0.0524423	9
0.0532928	9.11111
0.0539582	9.22222
0.0544945	9.33333
0.0552767	9.44444
0.0562524	9.55556
0.0573178	9.66667
0.058091	9.77778
0.0589485	9.88889
0.059174	10
0.0598817	10.1
0.0612621	10.2
0.0614314	10.3
0.0617507	10.4
0.0625604	10.5
0.0633664	10.6
0.0639677	10.7
0.064716	10.8
0.0656443	10.9
0.0662258	11
0.0673949	11.1
0.0683445	11.1909
0.0689609	11.2818
0.0699253	11.3727
0.0708375	11.4636
0.0713452	11.5545
0.0721887	11.6455
0.0727028	11.7364
0.0735245	11.8273
0.0746642	11.9182
0.0752426	12.0091
0.0757442	12.0924
0.0767702	12.1758
0.0775941	12.2591
0.0785417	12.3424
0.0793406	12.4258
0.079898	12.5091
0.0803868	12.5924
0.0812019	12.6758
0.0857317	12.7591
0.085966	12.8424
0.0912224	12.9258
0.09245	13.0091
0.0929413	13.086
0.0938648	13.1629
0.0947216	13.2399
0.0959383	13.3168
0.0971714	13.3937
0.0982293	13.4706
0.0992274	13.5476
0.100529	13.6245
0.101617	13.7014
0.102485	13.7783
0.102868	13.8552
0.103669	13.9322
0.104516	14.0091
0.105063	14.0805
0.10609	14.1519
0.106638	14.2234
0.107493	14.2948
0.108046	14.3662
0.108984	14.4377
0.109765	14.5091
0.111129	14.5805
0.111349	14.6519
0.111909	14.7234
0.112529	14.7948
0.113356	14.8662
0.114191	14.9377
0.115032	15.0091
0.115945	15.0758
0.116968	15.1424
0.117925	15.2091
0.1189	15.2758
0.119739	15.3424
0.120264	15.4091
0.12119	15.4758
0.121788	15.5424
0.122899	15.6091
0.123929	15.6758
0.124099	15.7424
0.12496	15.8091
0.125591	15.8758
0.126496	15.9424
0.127397	16.0091
0.128396	16.0716
0.128938	16.1341
0.129575	16.1966
0.130092	16.2591
0.130651	16.3216
0.135494	16.3841
0.140489	16.4466
0.141592	16.5091
0.142262	16.5716
0.142877	16.6341
0.144049	16.6966
0.145471	16.7591
0.146796	16.8216
0.148651	16.8841
0.149351	16.9466
0.150965	17.0091
0.151763	17.0679
0.152394	17.1267
0.153486	17.1856
0.155151	17.2444
0.15738	17.3032
0.158408	17.362
0.158609	17.4209
0.159428	17.4797
0.160208	17.5385
0.160434	17.5973
0.161288	17.6561
0.162288	17.715
0.163239	17.7738
0.163988	17.8326
0.164485	17.8914
0.165506	17.9503
0.166692	18.0091
0.167523	18.0646
0.168204	18.1202
0.16924	18.1758
0.170077	18.2313
0.170971	18.2869
0.171929	18.3424
0.172593	18.398
0.172972	18.4535
0.173922	18.5091
0.174589	18.5646
0.17531	18.6202
0.176561	18.6758
0.177263	18.7313
0.178419	18.7869
0.179384	18.8424
0.180321	18.898
0.181227	18.9535
0.182052	19.0091
0.182885	19.0617
0.183555	19.1144
0.18542	19.167
0.186294	19.2196
0.187148	19.2722
0.188057	19.3249
0.188906	19.3775
0.189958	19.4301
0.191404	19.4828
0.192539	19.5354
0.193906	19.588
0.195463	19.6407
0.197133	19.6933
0.198768	19.7459
0.200309	19.7986
0.20101	19.8512
0.202039	19.9038
0.202555	19.9565
0.203521	20.0091
0.204357	20.0591
0.204869	20.1091
0.205838	20.1591
0.20668	20.2091
0.207697	20.2591
0.208701	20.3091
0.209891	20.3591
0.21062	20.4091
0.211536	20.4591
0.212096	20.5091
0.212938	20.5591
0.213699	20.6091
0.214673	20.6591
0.215128	20.7091
0.215985	20.7591
0.216895	20.8091
0.217682	20.8591
0.218171	20.9091
0.219008	20.9591
0.220154	21.0091
0.220894	21.0567
0.221325	21.1043
0.222028	21.1519
0.222862	21.1996
0.223721	21.2472
0.224607	21.2948
0.22549	21.3424
0.226044	21.39
0.227109	21.4377
0.227691	21.4853
0.228771	21.5329
0.229415	21.5805
0.230306	21.6281
0.230821	21.6758
0.231308	21.7234
0.236402	21.771
0.242061	21.8186
0.242962	21.8662
0.243743	21.9139
0.244768	21.9615
0.246543	22.0091
0.248369	22.0545
0.249404	22.1
0.250591	22.1455
0.251275	22.1909
0.252094	22.2364
0.253139	22.2818
0.253607	22.3273
0.254696	22.3727
0.255283	22.4182
0.255895	22.4636
0.256902	22.5091
0.257494	22.5545
0.258431	22.6
0.258908	22.6455
0.259913	22.6909
0.260725	22.7364
0.261321	22.7818
0.262043	22.8273
0.262748	22.8727
0.26361	22.9182
0.264235	22.9636
0.264959	23.0091
0.265695	23.0526
0.266351	23.096
0.267068	23.1395
0.267869	23.183
0.268403	23.2265
0.269251	23.27
0.270016	23.3134
0.270536	23.3569
0.271455	23.4004
0.271984	23.4439
0.272603	23.4874
0.273452	23.5308
0.274649	23.5743
0.275145	23.6178
0.275499	23.6613
0.276024	23.7047
0.276945	23.7482
0.277431	23.7917
0.278462	23.8352
0.279305	23.8787
0.27979	23.9221
0.280344	23.9656
0.280937	24.0091
0.28633	24.0508
0.291946	24.0924
0.292899	24.1341
0.293765	24.1758
0.294319	24.2174
0.295487	24.2591
0.297436	24.3008
0.29897	24.3424
0.30024	24.3841
0.301922	24.4258
0.302389	24.4674
0.303343	24.5091
0.304148	24.5508
0.304879	24.5924
0.305443	24.6341
0.306782	24.6758
0.307248	24.7174
0.308089	24.7591
0.308892	24.8008
0.309495	24.8424
0.309951	24.8841
0.310814	24.9258
0.311725	24.9674
0.312484	25.0091
0.313017	25.0491
0.313528	25.0891
0.314402	25.1291
0.314901	25.1691
0.315678	25.2091
0.316286	25.2491
0.316805	25.2891
0.317715	25.3291
0.318481	25.3691
0.319425	25.4091
0.320456	25.4491
0.321128	25.4891
0.321652	25.5291
0.322018	25.5691
0.322793	25.6091
0.323352	25.6491
0.324181	25.6891
0.324713	25.7291
0.325563	25.7691
0.326435	25.8091
0.327061	25.8491
0.328075	25.8891
0.328989	25.9291
0.329523	25.9691
0.330333	26.0091
0.330828	26.0476
0.335915	26.086
0.33961	26.1245
0.340633	26.1629
0.342194	26.2014
0.343041	26.2399
0.343897	26.2783
0.344857	26.3168
0.346158	26.3552
0.347605	26.3937
0.349674	26.4322
0.350421	26.4706
0.35114	26.5091
0.352018	26.5476
0.352713	26.586
0.35357	26.6245
0.354377	26.6629
0.355034	26.7014
0.355978	26.7399
0.356915	26.7783
0.357291	26.8168
0.357926	26.8552
0.358508	26.8937
0.359374	26.9322
0.36021	26.9706
0.361084	27.0091
0.361697	27.0461
0.362526	27.0832
0.363144	27.1202
0.364195	27.1572
0.364941	27.1943
0.365471	27.2313
0.366349	27.2684
0.367013	27.3054
0.368014	27.3424
0.368464	27.3795
0.369254	27.4165
0.370447	27.4535
0.370798	27.4906
0.372082	27.5276
0.372251	27.5646
0.37296	27.6017
0.37382	27.6387
0.374673	27.6758
0.375458	27.7128
0.376013	27.7498
0.376853	27.7869
0.377694	27.8239
0.378494	27.8609
0.379359	27.898
0.379888	27.935
0.380652	27.9721
0.381455	28.0091
0.385252	28.0448
0.389438	28.0805
0.389987	28.1162
0.391931	28.1519
0.392547	28.1877
0.393997	28.2234
0.395165	28.2591
0.396997	28.2948
0.398633	28.3305
0.400028	28.3662
0.400831	28.4019
0.401558	28.4377
0.402335	28.4734
0.402931	28.5091
0.403592	28.5448
0.404224	28.5805
0.404854	28.6162
0.405612	28.6519
0.406382	28.6877
0.40713	28.7234
0.408714	28.7591
0.409049	28.7948
0.410104	28.8305
0.410499	28.8662
0.410845	28.9019
0.411336	28.9377
0.411651	28.9734
0.4123	29.0091
0.41306	29.0436
0.413704	29.0781
0.414478	29.1125
0.415119	29.147
0.415987	29.1815
0.416575	29.216
0.417269	29.2505
0.417966	29.285
0.41879	29.3194
0.419497	29.3539
0.420318	29.3884
0.420853	29.4229
0.421669	29.4574
0.422338	29.4918
0.423165	29.5263
0.423804	29.5608
0.424584	29.5953
0.425043	29.6298
0.426092	29.6643
0.427024	29.6987
0.427638	29.7332
0.42828	29.7677
0.429221	29.8022
0.430032	29.8367
0.430581	29.8712
0.435531	29.9056
0.439644	29.9401
0.440933	29.9746
0.44212	30.0091
0.443169	30.0424
0.443903	30.0758
0.445603	30.1091
0.447471	30.1424
0.448837	30.1758
0.450367	30.2091
0.451313	30.2424
0.452024	30.2758
0.453406	30.3091
0.454248	30.3424
0.454578	30.3758
0.455154	30.4091
0.455906	30.4424
0.456183	30.4758
0.456817	30.5091
0.45714	30.5424
0.458025	30.5758
0.458734	30.6091
0.459651	30.6424
0.46107	30.6758
0.461721	30.7091
0.462375	30.7424
0.463122	30.7758
0.463757	30.8091
0.464571	30.8424
0.465219	30.8758
0.466146	30.9091
0.466815	30.9424
0.467201	30.9758
0.468371	31.0091
0.469253	31.0413
0.469559	31.0736
0.470534	31.1059
0.471327	31.1381
0.471871	31.1704
0.472662	31.2026
0.473355	31.2349
0.474062	31.2672
0.474807	31.2994
0.475596	31.3317
0.476376	31.3639
0.477133	31.3962
0.47798	31.4284
