time	pps	kbps
0.100286	0	0
0.200506	10	352.32
0.300803	20	704.64
0.40115	40	1409.28
0.501339	80	2818.56
0.60153	160	5637.12
0.70171	320	11274.2
0.801843	640	22548.5
0.901976	130	4580.16
1.00202	1330	46858.6
1.10212	350	12331.2
1.20236	20	704.64
1.3024	1340	47210.9
1.40244	600	21139.2
1.50255	20	704.64
1.60268	1130	39812.2
1.70286	0	0
1.80313	480	16911.4
1.90327	1110	39107.5
2.00387	770	27128.6
2.10393	420	14797.4
2.20407	810	28537.9
2.30418	810	28537.9
2.40431	610	21491.5
2.50445	840	29594.9
2.60467	800	28185.6
2.70473	830	29242.6
2.80478	830	29242.6
2.90516	850	29947.2
3.00528	850	29947.2
3.10532	870	30651.8
3.20538	790	27833.3
3.30551	900	31708.8
3.40556	880	31004.2
3.50565	850	29947.2
3.60576	900	31708.8
3.70585	940	33118.1
3.8059	920	32413.4
3.90611	950	33470.4
4.00644	960	33822.7
4.10648	960	33822.7
4.20662	800	28185.6
4.30671	1000	35232
4.4069	1010	35584.3
4.50715	930	32765.8
4.60723	1010	35584.3
4.70732	990	34879.7
4.80745	970	34175
4.90752	1020	35936.6
5.00766	1020	35936.6
5.10799	950	33470.4
5.20837	1010	35584.3
5.3087	1010	35584.3
5.40879	1010	35584.3
5.50886	1020	35936.6
5.60893	1110	39107.5
5.70898	980	34527.4
5.8094	1010	35584.3
5.90945	1050	36993.6
6.00954	1010	35584.3
6.10969	1050	36993.6
6.20975	930	32765.8
6.31015	1020	35936.6
6.41061	1070	37698.2
6.51077	970	34175
6.61089	1020	35936.6
6.71139	1030	36289
6.81173	990	34879.7
6.91258	1050	36993.6
7.01263	1030	36289
7.11267	1010	35584.3
7.21289	970	34175
7.31296	1040	36641.3
7.41359	1040	36641.3
7.51391	1000	35232
7.61401	1060	37345.9
7.71406	1030	36289
7.81431	1000	35232
7.91435	1060	37345.9
8.01477	980	34527.4
8.11484	1040	36641.3
8.21494	1030	36289
8.31522	770	27128.6
8.41561	1230	43335.4
8.51565	920	32413.4
8.61582	1150	40516.8
8.71621	890	31356.5
8.81649	1040	36641.3
8.91669	980	34527.4
9.01684	1040	36641.3
9.11693	1000	35232
9.21698	1000	35232
9.31705	950	33470.4
9.41716	1070	37698.2
9.51752	990	34879.7
9.61765	1030	36289
9.71768	1030	36289
9.81773	960	33822.7
9.91812	1030	36289
10.0182	1020	35936.6
10.1184	1000	35232
10.2184	1020	35936.6
10.3187	980	34527.4
10.4191	1040	36641.3
10.5195	1030	36289
10.6203	970	34175
10.7203	1090	38402.9
10.8206	970	34175
10.9206	1020	35936.6
11.0207	1050	36993.6
11.1207	960	33822.7
11.2208	1080	38050.6
11.3213	960	33822.7
11.4215	980	34527.4
11.5216	1070	37698.2
11.6216	940	33118.1
11.7217	1060	37345.9
11.8219	1060	37345.9
11.9224	970	34175
12.0225	1060	37345.9
12.1225	960	33822.7
12.2226	1050	36993.6
12.323	1010	35584.3
12.4232	950	33470.4
12.5236	1070	37698.2
12.6236	980	34527.4
12.7236	980	34527.4
12.8244	1060	37345.9
12.9244	980	34527.4
13.0245	1100	38755.2
13.1249	980	34527.4
13.2249	1090	38402.9
13.3253	940	33118.1
13.4258	1010	35584.3
13.5258	1020	35936.6
13.6262	1000	35232
13.7263	1040	36641.3
13.8265	1000	35232
13.9266	1040	36641.3
14.0268	930	32765.8
14.1271	1140	40164.5
14.2271	1090	38402.9
14.3272	1020	35936.6
14.4274	1080	38050.6
14.5275	940	33118.1
14.6276	1050	36993.6
14.7277	1120	39459.8
14.8281	970	34175
14.9285	1100	38755.2
15.0287	920	32413.4
15.1287	710	25014.7
15.2288	1290	45449.3
15.3289	410	14445.1
15.429	880	31004.2
15.5291	930	32765.8
15.6292	800	28185.6
15.7293	880	31004.2
15.8293	890	31356.5
15.9294	900	31708.8
16.0295	920	32413.4
16.131	930	32765.8
16.231	960	33822.7
16.3311	950	33470.4
16.4315	970	34175
16.5316	990	34879.7
16.6317	980	34527.4
16.7319	990	34879.7
16.832	980	34527.4
16.9321	1010	35584.3
17.0325	1010	35584.3
17.1326	990	34879.7
17.2326	1050	36993.6
17.3332	970	34175
17.4332	1000	35232
17.5336	1030	36289
17.6339	970	34175
17.734	1010	35584.3
17.8342	1010	35584.3
17.9346	950	33470.4
18.0356	1060	37345.9
18.1362	980	34527.4
18.2364	1020	35936.6
18.3367	1020	35936.6
18.4367	980	34527.4
18.5368	1040	36641.3
18.6371	950	33470.4
18.7373	1020	35936.6
18.8373	1020	35936.6
18.9377	960	33822.7
19.0379	1000	35232
19.138	950	33470.4
19.238	1000	35232
19.3381	320	11274.2
19.4382	1260	44392.3
19.5383	20	704.64
19.6391	530	18673
19.7394	390	13740.5
19.8395	620	21843.8
19.9397	650	22900.8
20.0401	580	20434.6
20.1402	320	11274.2
20.2405	20	704.64
20.3407	700	24662.4
20.4408	200	7046.4
20.5409	540	19025.3
20.641	20	704.64
20.7412	720	25367
20.8414	620	21843.8
20.9414	560	19729.9
21.0417	690	24310.1
21.1418	690	24310.1
21.2422	730	25719.4
21.3424	730	25719.4
21.4424	780	27481
21.5425	790	27833.3
21.6427	790	27833.3
21.7428	810	28537.9
21.8429	820	28890.2
21.9429	810	28537.9
22.043	800	28185.6
22.1434	680	23957.8
22.2437	800	28185.6
22.3438	820	28890.2
22.4455	830	29242.6
22.5456	840	29594.9
22.6457	820	28890.2
22.7458	870	30651.8
22.8459	870	30651.8
22.946	870	30651.8
23.0464	710	25014.7
23.1464	840	29594.9
23.2465	910	32061.1
23.3467	870	30651.8
23.4467	830	29242.6
23.5468	630	22196.2
23.647	950	33470.4
23.7471	950	33470.4
