time	pps	kbps
23.8478	920	32413.4
23.9479	860	30299.5
24.048	970	34175
24.1481	980	34527.4
24.2482	900	31708.8
24.3484	1000	35232
24.4484	1020	35936.6
24.5485	870	30651.8
24.6486	1010	35584.3
24.7487	660	23253.1
24.8488	960	33822.7
24.9489	910	32061.1
25.0489	580	20434.6
25.149	490	17263.7
25.2491	1010	35584.3
25.3492	360	12683.5
25.4497	570	20082.2
25.5498	530	18673
25.6499	570	20082.2
25.75	560	19729.9
25.8503	600	21139.2
25.9504	620	21843.8
26.0505	610	21491.5
26.1507	650	22900.8
26.2507	650	22900.8
26.3509	600	21139.2
26.451	660	23253.1
26.5511	670	23605.4
26.6512	660	23253.1
26.7514	670	23605.4
26.8515	680	23957.8
26.9515	700	24662.4
27.0516	700	24662.4
27.1517	710	25014.7
27.2518	740	26071.7
27.3519	720	25367
27.4521	740	26071.7
27.5524	730	25719.4
27.6524	740	26071.7
27.7525	790	27833.3
27.8526	780	27481
27.9527	250	8808
