segment	time	rtt	rttvar	srtt	rto
1	0.00493999	4.54815	2.27407	4.54815	200
2	0.00967581	4.29179	1.76964	4.5161	200
3	0.0104921	5.02775	1.45515	4.58006	200
4	0.0140816	3.93877	1.35341	4.53998	200
5	0.0146255	4.45424	1.19495	4.53462	200
6	0.0158888	5.12464	1.14454	4.55921	200
7	0.0164493	5.65779	1.14071	4.60498	200
8	0.0190203	4.60793	1.0696	4.60507	200
9	0.0194304	4.95383	1.02455	4.61597	200
10	0.0201772	5.25212	1.00513	4.63187	200
11	0.0224782	7.43706	1.09513	4.702	200
12	0.0232873	7.0833	1.14872	4.75161	200
13	0.0238582	7.59004	1.21913	4.81075	200
14	0.0255613	8.88629	1.32114	4.88353	200
15	0.0277232	10.9229	1.48965	4.99137	200
16	0.0284091	9.11069	1.57183	5.05574	200
17	0.0289686	9.59209	1.66447	5.12662	200
18	0.029513	9.87697	1.75019	5.19259	200
19	0.030071	10.3399	1.84455	5.26408	200
20	0.0306257	10.1831	1.92142	5.32557	200
21	0.031256	10.7361	2.00864	5.3932	200
22	0.031806	9.06163	2.04637	5.43489	200
23	0.0323702	9.54997	2.09338	5.48165	200
24	0.0330235	9.44224	2.13228	5.52291	200
25	0.0339966	10.2125	2.18556	5.57176	200
26	0.0349092	10.8077	2.24422	5.6221	200
27	0.0362972	12.1063	2.32576	5.68445	200
28	0.0381723	12.3493	2.40324	5.74396	200
29	0.0388129	12.8528	2.48727	5.80743	200
30	0.0393041	11.271	2.53688	5.85296	200
31	0.0396162	11.4043	2.58712	5.89922	200
32	0.0398993	11.2924	2.63096	5.94136	200
33	0.040166	11.439	2.67575	5.98431	200
34	0.040425	11.25	2.71384	6.02303	200
35	0.0406947	11.414	2.75321	6.06267	200
36	0.0409638	11.2365	2.78683	6.0986	200
37	0.0412151	11.3753	2.82141	6.13524	200
38	0.0414989	11.2204	2.8512	6.1687	200
39	0.0418054	11.3973	2.88248	6.20309	200
40	0.0421222	11.2329	2.90932	6.23453	200
41	0.0441691	13.1839	2.95982	6.27796	200
42	0.0443704	12.9384	3.00388	6.31761	200
43	0.0447172	13.1852	3.04988	6.35849	200
44	0.0455121	13.5111	3.0965	6.39913	200
45	0.046698	14.5989	3.15449	6.44572	200
46	0.0474866	14.9293	3.21241	6.49182	200
47	0.0480458	15.3395	3.27367	6.53991	200
48	0.048857	15.5697	3.33363	6.58694	200
49	0.0493324	15.8188	3.39507	6.63502	200
50	0.0541439	19.8627	3.49339	6.70116	200
51	0.0548473	20.3711	3.59516	6.76951	200
52	0.0670034	31.8825	3.80206	6.89024	200
53	0.0771525	41.9064	4.1022	7.05859	200
54	0.077616	39.8733	4.36805	7.21051	200
55	0.0779793	40.0696	4.63186	7.36264	200
56	0.0784898	40.1379	4.88314	7.50896	200
57	0.0793796	40.9164	5.13782	7.6581	200
58	0.0797464	40.7592	5.37888	7.80077	200
59	0.080521	41.3964	5.62213	7.94558	200
60	0.0812839	41.8628	5.85792	8.0869	200
61	0.0822006	42.7362	6.09785	8.23128	200
62	0.0830246	43.3033	6.33151	8.3727	200
63	0.0838473	44.0636	6.56828	8.51661	200
64	0.0843735	44.367	6.79705	8.65665	200
65	0.0857177	45.5347	7.03206	8.80071	200
66	0.0863838	45.983	7.26047	8.94155	200
67	0.0866106	46.2981	7.48847	9.08305	200
68	0.0876961	47.1639	7.71341	9.22305	200
69	0.0885502	47.9762	7.94165	9.36553	200
70	0.0894295	48.6141	8.16527	9.5057	200
71	0.0902779	49.4194	8.39204	9.64825	200
72	0.0911363	50.0679	8.61446	9.7886	200
73	0.0920106	50.9016	8.84014	9.93135	200
74	0.092781	51.4537	9.06097	10.0716	200
75	0.0932948	51.9217	9.28251	10.213	200
76	0.0941815	52.5436	9.49994	10.3523	200
77	0.0949685	53.2873	9.7199	10.4935	200
78	0.0957664	53.8612	9.93559	10.6325	200
79	0.0965834	54.624	10.1539	10.7735	200
80	0.0974269	55.2114	10.3682	10.9124	200
81	0.0978971	55.6345	10.5829	11.0521	200
82	0.0985103	54.2674	10.7819	11.1839	200
83	0.10424	59.9513	11.0135	11.3325	200
84	0.122291	77.8302	11.3437	11.5305	200
85	0.124479	79.9896	11.6837	11.7342	200
86	0.125074	80.2714	12.0143	11.9334	200
87	0.12559	80.7476	12.3445	12.1335	200
88	0.126194	80.6034	12.6634	12.328	200
89	0.127163	81.5271	12.9846	12.5246	200
90	0.127752	80.932	13.2925	12.7146	200
91	0.128648	81.7896	13.6024	12.9065	200
92	0.129527	81.9331	13.9036	13.0941	200
93	0.130396	82.7545	14.2067	13.2834	200
94	0.131198	83.0641	14.5023	13.4689	200
95	0.132082	83.905	14.7998	13.6563	200
96	0.132943	83.9881	15.089	13.8394	200
97	0.133734	84.734	15.3797	14.024	200
98	0.134556	85.1417	15.6641	14.2055	200
99	0.135366	85.891	15.9499	14.3883	200
100	0.136167	81.9287	16.2078	14.5572	200
101	0.136976	82.708	16.4675	14.7276	200
102	0.137787	82.8582	16.7208	14.8946	200
103	0.13887	83.9083	16.9771	15.0637	200
104	0.139706	72.5092	17.1717	15.2018	200
105	0.140312	73.053	17.3673	15.3409	200
106	0.141228	63.9398	17.5146	15.4555	200
107	0.142061	64.7157	17.6643	15.5717	200
108	0.142851	65.1583	17.8121	15.6864	200
109	0.143669	65.9471	17.9623	15.8028	200
110	0.144807	66.7468	18.1123	15.9186	200
111	0.145682	67.5827	18.2648	16.036	200
112	0.14699	68.3651	18.4168	16.1528	200
113	0.147657	69.0455	18.5708	16.2709	200
114	0.148413	68.9493	18.7203	16.3864	200
115	0.14888	69.3852	18.8707	16.5026	200
116	0.149658	69.8319	19.0192	16.6175	200
117	0.154123	74.2617	19.1857	16.7418	200
118	0.165733	85.1216	19.3942	16.8866	200
119	0.173601	92.8815	19.634	17.0477	200
120	0.174248	92.8332	19.868	17.2055	200
121	0.174623	93.2223	20.1019	17.3639	200
