time	pps	kbps
0.100061	850	29947.2
0.200131	1000	35232
0.300374	1000	35232
0.400416	1030	36289
0.500468	1060	37345.9
0.600541	1030	36289
0.700659	1010	35584.3
0.800819	970	34175
0.901101	980	34527.4
1.00118	1020	35936.6
1.10147	1010	35584.3
1.20187	1030	36289
1.30207	1030	36289
1.40212	1020	35936.6
1.50219	1020	35936.6
1.60225	1030	36289
1.70231	1020	35936.6
1.80245	1040	36641.3
1.90252	1010	35584.3
2.00281	1030	36289
2.10331	1060	37345.9
2.20337	1020	35936.6
2.30382	1040	36641.3
2.40397	1010	35584.3
2.50421	1050	36993.6
2.60448	1040	36641.3
2.70499	1050	36993.6
2.80522	1040	36641.3
2.90531	1070	37698.2
3.00537	1070	37698.2
3.10572	1070	37698.2
3.20654	1050	36993.6
3.30658	1010	35584.3
3.40666	1030	36289
3.50691	1040	36641.3
3.60714	1020	35936.6
3.70722	1040	36641.3
3.80744	1020	35936.6
3.90773	1020	35936.6
4.0078	1010	35584.3
4.10785	1040	36641.3
4.20827	1020	35936.6
4.30884	1030	36289
4.40982	1030	36289
4.50986	1040	36641.3
4.61001	1060	37345.9
4.71005	1060	37345.9
4.81012	1050	36993.6
4.91056	1020	35936.6
5.01061	1000	35232
5.11067	1040	36641.3
5.21102	1050	36993.6
5.31112	1060	37345.9
5.41152	970	34175
5.51177	1060	37345.9
5.61181	1060	37345.9
5.71193	1070	37698.2
5.81204	1020	35936.6
5.91208	1000	35232
6.01214	1040	36641.3
6.1125	1050	36993.6
6.21302	1060	37345.9
6.3131	1050	36993.6
6.41316	1030	36289
6.5132	1010	35584.3
6.6136	1040	36641.3
6.71374	1050	36993.6
6.81409	1070	37698.2
6.91445	1080	38050.6
7.0145	1110	39107.5
7.11481	1090	38402.9
7.21486	1120	39459.8
7.3158	1090	38402.9
7.41605	1030	36289
7.51621	950	33470.4
7.61654	1030	36289
7.71681	1120	39459.8
7.81806	1110	39107.5
7.91875	1100	38755.2
8.0188	1100	38755.2
8.11916	1040	36641.3
8.21943	1000	35232
8.31973	1030	36289
8.42	1030	36289
8.52044	1040	36641.3
8.62089	980	34527.4
8.72116	1150	40516.8
8.82149	1090	38402.9
8.92155	1070	37698.2
9.02177	1090	38402.9
9.12182	1000	35232
9.22281	1010	35584.3
9.32288	1010	35584.3
9.42294	1040	36641.3
9.52414	1050	36993.6
9.62422	1030	36289
9.72429	1030	36289
9.82479	1010	35584.3
9.92506	1040	36641.3
10.0251	1030	36289
10.1253	1000	35232
10.2255	1060	37345.9
10.3261	1020	35936.6
10.4261	1060	37345.9
10.5262	1040	36641.3
10.627	1030	36289
10.7274	1040	36641.3
10.8275	1030	36289
10.9275	1030	36289
11.0276	1070	37698.2
11.1276	1030	36289
11.2277	980	34527.4
11.3281	1100	38755.2
11.4285	1030	36289
11.5288	1040	36641.3
11.6291	1010	35584.3
11.7292	1020	35936.6
11.8292	730	25719.4
11.9293	1040	36641.3
12.0294	1130	39812.2
12.1294	1040	36641.3
12.2295	1030	36289
12.3306	1020	35936.6
12.4309	940	33118.1
12.5313	840	29594.9
12.6316	1030	36289
12.7321	1020	35936.6
12.8322	1020	35936.6
12.9323	1040	36641.3
13.0324	1030	36289
13.1325	1030	36289
13.2326	1030	36289
13.3326	1010	35584.3
13.4327	1080	38050.6
13.5328	1020	35936.6
13.6329	1050	36993.6
13.7329	1020	35936.6
13.8334	1030	36289
13.9336	1020	35936.6
14.0337	1030	36289
14.1338	1040	36641.3
14.2339	1040	36641.3
14.3339	1020	35936.6
14.4341	1040	36641.3
14.5342	1100	38755.2
14.6342	970	34175
14.7344	1040	36641.3
14.8344	1040	36641.3
14.9345	1020	35936.6
15.0346	1020	35936.6
15.1347	1030	36289
15.2348	1040	36641.3
15.3349	1050	36993.6
15.435	1010	35584.3
