segment	time	rtt	rttvar	srtt	rto
1	0.105062	104.616	52.3081	104.616	313.849
2	0.210095	104.626	39.2335	104.617	261.552
3	0.210787	105.14	29.5558	104.683	222.906
4	0.315051	104.482	25.8864	104.67	208.216
5	0.316319	105.719	22.7818	104.736	200
6	0.316883	105.859	20.9769	104.783	200
7	0.317417	106.284	19.354	104.845	200
8	0.420057	104.618	18.1585	104.838	200
9	0.421209	105.702	17.0776	104.865	200
10	0.421832	105.195	16.2402	104.873	200
11	0.423424	106.683	15.5187	104.919	200
12	0.424601	107.467	14.9783	104.972	200
13	0.425159	107.924	14.4772	105.033	200
14	0.425838	108.142	14.0712	105.089	200
15	0.42641	108.609	13.6944	105.152	200
16	0.525056	104.603	13.2836	105.143	200
17	0.526543	105.945	12.8935	105.156	200
18	0.527659	106.116	12.5621	105.169	200
19	0.528801	107.087	12.2664	105.195	200
20	0.529536	107.388	12.0145	105.223	200
21	0.531027	108.731	11.8019	105.267	200
22	0.531705	107.985	11.5954	105.298	200
23	0.532525	108.665	11.4084	105.336	200
24	0.533742	108.804	11.243	105.372	200
25	0.534519	109.407	11.0929	105.414	200
26	0.535278	109.785	10.9636	105.456	200
27	0.53595	110.36	10.8471	105.503	200
28	0.536668	110.458	10.7418	105.547	200
29	0.53742	111.098	10.6491	105.597	200
30	0.538192	111.436	10.569	105.646	200
31	0.538744	111.935	10.4976	105.698	200
32	0.629921	104.475	10.3527	105.689	200
33	0.630587	105.044	10.201	105.684	200
34	0.632322	105.375	10.0555	105.681	200
35	0.633462	106.421	9.91855	105.687	200
36	0.634493	106.514	9.79228	105.692	200
37	0.635991	107.989	9.68817	105.708	200
38	0.637636	108.36	9.59559	105.726	200
39	0.640778	111.455	9.54471	105.764	200
40	0.649496	119.624	9.59866	105.85	200
41	0.653737	123.714	9.70197	105.962	200
42	0.654274	122.967	9.78891	106.063	200
43	0.654798	123.201	9.8764	106.165	200
44	0.655313	123.381	9.9598	106.263	200
45	0.655695	123.644	10.0441	106.362	200
46	0.656076	123.291	10.119	106.454	200
47	0.656453	123.553	10.1948	106.547	200
48	0.6568	122.769	10.2576	106.631	200
49	0.657156	122.972	10.321	106.716	200
50	0.657624	122.792	10.3785	106.797	200
51	0.65804	123.055	10.4373	106.878	200
52	0.660275	124.667	10.508	106.963	200
53	0.661476	125.754	10.5877	107.054	200
54	0.661973	125.734	10.6626	107.14	200
55	0.6625	126.106	10.7395	107.228	200
56	0.66318	126.201	10.813	107.313	200
57	0.663771	126.659	10.8892	107.399	200
58	0.664371	126.583	10.9607	107.482	200
59	0.665034	127.107	11.0354	107.566	200
60	0.665588	127.111	11.1063	107.648	200
61	0.666148	127.544	11.1796	107.731	200
62	0.666669	127.65	11.25	107.811	200
63	0.66725	128.189	11.3237	107.893	200
64	0.735172	104.882	11.2587	107.881	200
65	0.735759	105.345	11.1906	107.871	200
66	0.73698	106.098	11.1192	107.865	200
67	0.738004	107.027	11.0413	107.862	200
68	0.73926	106.626	10.9692	107.857	200
69	0.739812	107.121	10.894	107.854	200
70	0.740786	107.077	10.8217	107.852	200
71	0.741761	107.964	10.7452	107.852	200
72	0.743226	108.408	10.6745	107.854	200
73	0.743803	108.917	10.6077	107.858	200
74	0.744303	108.043	10.5373	107.858	200
75	0.744811	108.404	10.4698	107.86	200
76	0.74906	111.194	10.4229	107.871	200
77	0.751545	113.533	10.3915	107.89	200
78	0.752177	111.116	10.3456	107.9	200
79	0.75273	111.554	10.3027	107.912	200
80	0.753554	103.677	10.2648	107.898	200
81	0.754148	104.22	10.2236	107.887	200
82	0.75725	103.193	10.1899	107.873	200
83	0.758003	103.866	10.1522	107.86	200
84	0.759307	104.798	10.11	107.851	200
85	0.760083	105.494	10.0638	107.844	200
86	0.76108	106.008	10.016	107.839	200
87	0.762028	106.831	9.96364	107.836	200
88	0.763695	108.173	9.90895	107.837	200
89	0.764904	109.319	9.86107	107.841	200
90	0.766115	110.205	9.81941	107.848	200
91	0.76761	111.473	9.785	107.858	200
92	0.768434	112.154	9.75517	107.87	200
93	0.768998	112.722	9.72852	107.883	200
94	0.770674	114.033	9.70948	107.899	200
95	0.771782	115.126	9.69628	107.918	200
96	0.772621	115.682	9.68621	107.938	200
97	0.773424	116.419	9.67993	107.961	200
98	0.774257	116.979	9.67656	107.984	200
99	0.774834	117.47	9.67559	108.008	200
100	0.775711	117.922	9.67678	108.033	200
101	0.77623	118.374	9.6801	108.058	200
102	0.777282	119.056	9.68656	108.085	200
103	0.777723	119.471	9.69489	108.113	200
104	0.778344	117.856	9.69512	108.137	200
105	0.779071	117.89	9.6954	108.16	200
106	0.780074	118.429	9.69811	108.184	200
107	0.780516	118.788	9.70238	108.209	200
108	0.781458	119.335	9.70897	108.235	200
109	0.781961	119.746	9.71731	108.262	200
110	0.782916	120.238	9.72758	108.289	200
111	0.783472	120.6	9.73932	108.317	200
112	0.784337	120.975	9.75235	108.345	200
113	0.78498	121.483	9.76747	108.375	200
114	0.786058	122.071	9.7847	108.405	200
115	0.787118	123.027	9.80591	108.437	200
116	0.787443	122.877	9.82589	108.468	200
117	0.788164	123.442	9.84808	108.5	200
118	0.788835	123.596	9.87032	108.532	200
119	0.789243	123.931	9.89374	108.565	200
120	0.790022	124.166	9.91753	108.597	200
121	0.790886	124.969	9.94442	108.631	200
122	0.792052	125.735	9.97376	108.666	200
123	0.79259	126.195	10.0047	108.702	200
124	0.79329	126.447	10.0359	108.738	200
125	0.793645	126.72	10.068	108.774	200
126	0.79844	131.007	10.1162	108.818	200
127	0.799041	131.512	10.1662	108.863	200
128	0.83966	104.227	10.1446	108.854	200
129	0.840674	105.18	10.1193	108.847	200
130	0.842231	106.26	10.0903	108.842	200
131	0.842982	106.92	10.0589	108.838	200
132	0.843689	106.473	10.0298	108.834	200
133	0.850745	113.364	10.0089	108.843	200
134	0.857167	118.93	10.0092	108.861	200
135	0.863474	125.15	10.0326	108.892	200
136	0.86735	127.848	10.0655	108.927	200
137	0.871657	132.023	10.1134	108.969	200
138	0.875088	135.103	10.1714	109.016	200
139	0.880778	140.703	10.2494	109.074	200
140	0.887635	146.616	10.3468	109.141	200
141	0.903526	162.385	10.5	109.236	200
142	0.919414	177.415	10.7031	109.356	200
143	0.920417	178.369	10.9084	109.478	200
144	0.921245	177.767	11.1077	109.596	200
145	0.922164	178.518	11.3084	109.716	200
146	0.922756	178.768	11.5062	109.834	200
147	0.923161	179.095	11.704	109.953	200
148	0.923608	179.073	11.8979	110.069	200
149	0.923981	179.421	12.092	110.186	200
150	0.92446	179.477	12.2827	110.302	200
