time	pps	kbps
0.100106	0	0
0.20023	10	352.32
0.300456	20	704.64
0.400615	30	1056.96
0.50079	40	1409.28
0.600933	50	1761.6
0.701223	60	2113.92
0.801435	70	2466.24
0.901633	80	2818.56
1.00175	90	3170.88
1.10192	100	3523.2
1.20204	100	3523.2
1.3022	110	3875.52
1.40234	120	4227.84
1.5025	130	4580.16
1.60263	140	4932.48
1.70275	150	5284.8
1.80285	160	5637.12
1.90348	100	3523.2
2.00353	160	5637.12
2.10362	170	5989.44
2.20414	140	4932.48
2.30431	170	5989.44
2.40442	210	7398.72
2.50477	220	7751.04
2.60496	230	8103.36
2.7051	240	8455.68
2.80532	250	8808
2.90558	260	9160.32
3.00573	270	9512.64
3.10602	280	9864.96
3.20618	290	10217.3
3.30633	300	10569.6
3.40642	310	10921.9
3.50654	320	11274.2
3.60673	330	11626.6
3.70687	340	11978.9
3.80872	350	12331.2
3.90879	310	10921.9
4.00947	290	10217.3
4.1102	330	11626.6
4.21027	330	11626.6
4.31038	360	12683.5
4.41047	370	13035.8
4.51092	360	12683.5
4.61107	380	13388.2
4.71141	430	15149.8
4.81158	440	15502.1
4.91178	450	15854.4
5.01197	460	16206.7
5.1121	470	16559
5.21228	480	16911.4
5.31246	490	17263.7
5.41258	500	17616
5.51267	510	17968.3
5.61293	510	17968.3
5.71299	430	15149.8
5.81308	510	17968.3
5.91318	510	17968.3
6.01364	530	18673
6.11369	500	17616
6.21375	530	18673
6.31381	550	19377.6
6.41387	560	19729.9
6.51402	560	19729.9
6.61413	590	20786.9
6.71422	590	20786.9
6.81434	590	20786.9
6.91442	620	21843.8
7.01464	630	22196.2
7.11471	640	22548.5
7.21489	670	23605.4
7.31497	680	23957.8
7.41513	690	24310.1
7.51528	700	24662.4
7.61539	710	25014.7
7.71545	650	22900.8
7.81549	690	24310.1
7.91564	690	24310.1
8.01574	700	24662.4
8.11588	710	25014.7
8.21663	740	26071.7
8.31674	730	25719.4
8.4168	750	26424
8.51685	770	27128.6
8.61698	770	27128.6
8.71708	750	26424
8.81728	790	27833.3
8.91759	790	27833.3
9.01772	800	28185.6
9.11814	810	28537.9
